,/lpc/nct6687dr/0/control/0,/lpc/nct6687dr/0/control/1,/lpc/nct6687dr/0/control/2,/lpc/nct6687dr/0/control/10,/lpc/nct6687dr/0/control/11,/lpc/nct6687dr/0/control/12,/lpc/nct6687dr/0/control/13,/lpc/nct6687dr/0/control/14,/lpc/nct6687dr/0/control/15,/lpc/nct6687dr/0/control/3,/lpc/nct6687dr/0/voltage/0,/lpc/nct6687dr/0/voltage/1,/lpc/nct6687dr/0/voltage/2,/lpc/nct6687dr/0/voltage/3,/lpc/nct6687dr/0/voltage/4,/lpc/nct6687dr/0/voltage/5,/lpc/nct6687dr/0/voltage/6,/lpc/nct6687dr/0/voltage/8,/lpc/nct6687dr/0/voltage/9,/lpc/nct6687dr/0/voltage/10,/lpc/nct6687dr/0/voltage/11,/lpc/nct6687dr/0/voltage/12,/lpc/nct6687dr/0/voltage/13,/lpc/nct6687dr/0/temperature/0,/lpc/nct6687dr/0/temperature/1,/lpc/nct6687dr/0/temperature/2,/lpc/nct6687dr/0/temperature/3,/lpc/nct6687dr/0/fan/0,/lpc/nct6687dr/0/fan/1,/lpc/nct6687dr/0/fan/2,/lpc/nct6687dr/0/fan/10,/lpc/nct6687dr/0/fan/11,/lpc/nct6687dr/0/fan/12,/lpc/nct6687dr/0/fan/13,/lpc/nct6687dr/0/fan/14,/lpc/nct6687dr/0/fan/15,/lpc/nct6687dr/0/fan/3,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/clock/15,/amdcpu/0/clock/16,/amdcpu/0/factor/6,/amdcpu/0/power/7,/amdcpu/0/voltage/8,/amdcpu/0/clock/17,/amdcpu/0/clock/18,/amdcpu/0/factor/7,/amdcpu/0/power/8,/amdcpu/0/voltage/9,/amdcpu/0/temperature/2,/amdcpu/0/temperature/3,/amdcpu/0/clock/0,/gpu-amd/0/smalldata/2,/gpu-amd/0/factor/0,/gpu-amd/0/smalldata/5,/gpu-amd/0/smalldata/4,/gpu-amd/0/smalldata/3,/gpu-amd/0/smalldata/6,/gpu-amd/0/smalldata/7,/gpu-amd/0/smalldata/8,/gpu-amd/0/load/2,/gpu-amd/0/load/5,/gpu-amd/0/load/3,/gpu-amd/0/load/4,/gpu-amd/0/load/9,/gpu-amd/0/load/8,/gpu-amd/0/load/7,/gpu-amd/0/load/6,/gpu-amd/0/load/12,/gpu-amd/0/load/11,/gpu-amd/0/load/10,/gpu-amd/0/smalldata/0,/gpu-amd/0/smalldata/1,/gpu-amd/0/clock/0,/gpu-amd/0/clock/1,/gpu-amd/0/clock/2,/gpu-amd/0/temperature/4,/gpu-amd/0/voltage/0,/gpu-amd/0/voltage/2,/gpu-amd/0/load/0,/gpu-amd/0/power/0,/gpu-amd/0/power/2,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/fan/1,/gpu-nvidia/0/fan/2,/gpu-nvidia/0/control/1,/gpu-nvidia/0/control/2,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/load/4,/gpu-nvidia/0/load/5,/gpu-nvidia/0/voltage/0,/gpu-nvidia/0/smalldata/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/15,/gpu-nvidia/0/load/17,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/16,/gpu-nvidia/0/load/18,/gpu-nvidia/0/load/19,/gpu-nvidia/0/load/14,/gpu-nvidia/0/load/20,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/12,/gpu-nvidia/0/load/13,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/temperature/3,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1
Time,"CPU Fan","Pump Fan","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","+12V","+5V","CPU Northbridge/SoC","DIMM","Vcore","Chipset","CPU System Agent","+3.3V","VREF","+1.8V","+3V Standby","AVSB","CMOS Battery","CPU Core","System","VRM MOS","Chipset","CPU Fan","Pump Fan #1","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core Max","Package","Cores (Average)","Cores (Average Effective)","Core #1","Core #1 (Effective)","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2 (Effective)","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3 (Effective)","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4 (Effective)","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5 (Effective)","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6 (Effective)","Core #6","Core #6 (SMU)","Core #6 VID","Core #7","Core #7 (Effective)","Core #7","Core #7 (SMU)","Core #7 VID","Core #8","Core #8 (Effective)","Core #8","Core #8 (SMU)","Core #8 VID","Core (Tctl/Tdie)","CCD1 (Tdie)","Bus Speed","GPU Memory Total","Fullscreen FPS","D3D Dedicated Memory Total","D3D Dedicated Memory Free","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D Shared Memory Free","D3D Shared Memory Total","D3D 3D","D3D Copy","D3D Compute 0","D3D Compute 1","D3D Timer 0","D3D Security 1","D3D High Priority Compute","D3D High Priority 3D","D3D Video JPEG 0","D3D Video Decode 1","D3D Video Codec 0","GPU Memory Used","GPU Memory Free","GPU Core","GPU SoC","GPU Memory","GPU VR SoC","GPU Core","GPU SoC","GPU Core","GPU Core","GPU SoC","GPU Core","GPU Core","GPU Memory","GPU Fan 1","GPU Fan 2","GPU Fan 1","GPU Fan 2","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","GPU Power","GPU Board Power","GPU Core Voltage","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D Video Encode","D3D Optical Flow Accelerator 0","D3D VR","D3D Copy","D3D Copy","D3D Copy","D3D Copy","GPU Hot Spot","GPU Memory Junction","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx"
05/24/2026 19:51:43,77,24,0,45,80,80,80,80,80,94,12.0960007,5.03,1.30800009,1.39200008,1.0480001,0.362000018,0.578,3.28000021,2.046,0,3.364,3.364,3.108,80,51,53.5,52,1639,418,0,552,0,0,0,0,0,0,75.76,9.09,9.09,0,6.06,40.91,0,0,17.61,75.76,42.9837875,3477,990,4975,3713,49.75,4.455689,0.53125,3076,530,33.1666679,0.851199746,0.53125,2879,234,33.1666679,0.5852035,0.53125,2844,146,33.1666679,0.438428581,0.53125,3740,376,39.8,1.13122463,0.53125,4950,2866,49.5,3.50652456,0.5375,2691,29,33,0.192571342,0.5375,2659,26,33,0.0455050245,0.5375,80.75,73.125,99.9974747,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,63,1.05500007,1.30500007,0,9,16,47,2670,10451.9824,1038,1039,31,31,2,1,0,0,16.322,17.623,0.975,10523.293,456.84375,4.318233,0,0,0,0.5707973,0,0,0,0,0,5.556611,0,0,0,58.1875,58,16376,5551,10824,66.09799,48.831,1249280,19499008
05/24/2026 19:51:45,78,24,0,44,84,84,84,84,84,98,12.0960007,5.03,1.30800009,1.39200008,1.052,0.358,0.576000035,3.28000021,2.046,0,3.364,3.36000013,3.108,80,50.5,53.5,52,1643,414,0,567,0,0,0,0,0,0,77.05,18.03,3.28,3.28,6.56,34.43,3.28,1.64,18.44,77.05,41.1278152,4448,809,4975,3576,49.75,3.9904356,0.51875,4975,684,49.75,0.8958091,0.51875,3675,163,39.8,0.395421177,0.51875,4975,185,49.75,0.33392632,0.51875,3708,243,39.8,0.904286265,0.51875,4975,1457,49.75,1.61945438,0.51875,3657,69,39.8,0.201845318,0.51875,4646,97,48.5,0.218244076,0.55,80,62.8750038,99.99748,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,63,1.05000007,1.30500007,0,10,16,46,2670,10451.9824,1032,1028,30,30,0,1,0,0,16.911,17.906,0.975,11235.1211,560.59375,14.9108191,0,0,0,0.7178409,0,0,0,0,0,1.21906853,0,0,0,58.0625,58,16376,4835,11540,70.471344,47.191,1.16114944E+09,101199872
05/24/2026 19:51:47,79,24,0,45,88,88,88,88,88,95,12.0720005,5.02000046,1.30800009,1.39200008,1.026,0.36,0.578,3.28000021,2.046,0,3.364,3.364,3.108,77,50.5,53.5,51.5,1666,402,0,564,0,0,0,0,0,0,52.38,23.81,11.11,8.06,15.87,49.21,11.29,4.84,22.07,52.38,42.3028145,4156,1035,4850,2197,48.5,2.46029878,0.53125,4850,1117,48.5,1.81587064,0.53125,4631,543,48.5,1.232928,0.53125,3061,407,32.3333321,1.03836834,0.53125,4656,714,48.5,1.42641222,0.53125,5000,2702,50,2.59826422,0.525,3090,320,33.3333321,0.9451836,0.525,3114,280,33.3333321,0.9055763,0.525,76.25001,61.3750038,99.99751,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,62,1.05000007,1.30500007,0,16,17,58,2835,10451.9824,1014,1014,30,30,98,45,0,2,86.363,86.861,1.09,11954.9648,384.9922,84.74788,0,0,0,0.2728126,0,0,0,0,0,0.367141783,0,0,0,68.59375,62,16376,4120,12255,74.83956,161.893,6.136996E+08,239549440
05/24/2026 19:51:49,80,24,0,45,90,90,90,90,90,93,12.048,5.03,1.30800009,1.39200008,1.03800011,0.354,0.578,3.28000021,2.046,0,3.364,3.364,3.108,73,50.5,53.5,52,1680,393,0,548,0,0,0,0,0,0,46.88,28.12,6.25,6.25,15.62,68.75,7.81,12.5,24.02,68.75,44.3087425,3995,1287,3980,2310,39.8,2.73033285,0.53125,3980,1595,39.8,2.406912,0.53125,3866,782,39.8,1.64300847,0.53125,3810,611,39.8,1.44185269,0.53125,3914,1024,39.8,1.87377691,0.53125,4975,3087,49.75,3.01744318,0.53125,3686,440,39.8,1.26850939,0.53125,3748,446,39.8,1.26176608,0.53125,73.25001,61.8750038,99.9974747,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,63,0.995000064,1.30500007,0,7,17,59,2835,10451.9824,1006,1006,32,32,99,59,0,2,87.182,82.469,1.09,11969.5078,387.5,93.17226,0,0,0,0.03200023,0,0,0,0,0,0.04942213,0,0,0,69.6875,64,16376,4105,12270,74.92822,247.131,6.063995E+08,271699968
05/24/2026 19:51:51,82,25,0,45,86,86,86,86,86,91,12.048,5.02000046,1.30800009,1.39200008,1.034,0.352000028,0.576000035,3.28000021,2.046,0,3.364,3.36000013,3.108,71,51,53.5,52,1711,424,0,546,0,0,0,0,0,0,48.44,28.12,18.46,9.23,23.08,53.12,15.38,1.54,24.67,53.12,44.32657,3546,1290,3350,2248,33.5,2.7260747,0.53125,4020,1588,40.2,2.42249942,0.53125,3225,846,33.5,1.69629657,0.53125,3208,633,33.5,1.47961855,0.53125,3303,1054,33.5,1.89546561,0.53125,5025,3013,50.25,3.06236339,0.53125,3111,529,33.5,1.350294,0.53125,3123,411,33.5,1.25692868,0.53125,71.00001,62.3750038,99.9974747,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,62,1.04500008,1.30500007,0,14,17,60,2835,10451.9824,1040,1038,36,36,99,59,0,2,85.256,87.781,1.09,11969.5078,387.5,92.72354,0,0,0,0.0177013762,0,0,0,0,0,0,0,0,0,70.84375,66,16376,4105,12270,74.92822,248.29,9.292493E+08,216999936
05/24/2026 19:51:53,83,25,0,45,82,82,82,82,82,90,12.0720005,5.03,1.30800009,1.39200008,1.044,0.350000024,0.578,3.28400016,2.046,0,3.364,3.364,3.108,69,51,53.5,51.5,1726,422,0,556,0,0,0,0,0,0,34.38,26.56,14.29,17.46,12.7,54.69,4.76,1.59,20.8,54.69,44.21333,3597,1261,5000,2229,50,2.63933754,0.5375,4000,1563,40,2.368019,0.5375,3229,815,33.3333321,1.66817009,0.5375,3157,657,33.3333321,1.48444,0.5375,3245,984,33.3333321,1.85157907,0.5375,4000,3001,40,3.0579524,0.5375,3081,474,33.3333321,1.30092871,0.5375,3065,366,33.3333321,1.20410812,0.5375,69.50001,61.8750038,99.9974747,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,62,1.05500007,1.30500007,0,9,16,60,2835,10451.9824,1120,1115,38,38,98,58,0,2,87.734,86.431,1.09,11969.5078,387.5,92.25774,0,0,0,0.0159188546,0,0,0,0,0,0,0,0,0,71.5625,66,16376,4105,12270,74.92822,247.141,8.851999E+08,263949312
05/24/2026 19:51:55,82,25,0,45,78,78,78,78,78,89,12.048,5.02000046,1.30600011,1.39200008,1.024,0.352000028,0.578,3.28000021,2.046,0,3.364,3.364,3.108,68,50.5,54,52,1711,427,0,546,0,0,0,0,0,0,37.5,28.12,10.94,6.25,14.06,56.25,6.25,6.25,20.7,56.25,43.9819145,4000,1252,3920,2145,39.2,2.62376285,0.5625,3920,1491,39.2,2.27939939,0.5625,3734,771,39.2,1.630077,0.5625,3667,578,39.2,1.41303492,0.5625,3800,1046,39.2,1.8796351,0.5625,4900,3130,49,3.05776167,0.5625,4499,491,49,1.30575514,0.5625,3563,366,39.2,1.19020319,0.5625,68.62501,62.3750038,99.99748,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,63,0.979000032,1.30500007,0,7,17,61,2835,10451.9824,1194,1190,39,39,98,58,0,2,87.308,84.349,1.09,11969.5078,387.625,92.67731,0,0,0,0.0182037242,0,0,0,0,0,0.0116170477,0,0,0,72.5,66,16376,4105,12270,74.92822,248.811,1.09199974E+09,2.60949E+08
05/24/2026 19:51:57,81,25,0,45,76,76,76,76,76,87,12.0720005,5.02000046,1.30800009,1.39200008,1.034,0.356,0.578,3.28000021,2.046,0,3.364,3.364,3.108,68,51,54,51.5,1680,427,0,562,0,0,0,0,0,0,43.75,25,10.94,10.94,18.75,56.25,7.81,10.94,23.05,56.25,44.6646957,3957,1317,3940,2389,39.4,2.831729,0.55625,3940,1690,39.4,2.503498,0.55625,3853,849,39.4,1.73103309,0.55625,3759,659,39.4,1.524709,0.55,3890,1067,39.4,1.94371974,0.55,4925,2939,49.25,3.01540923,0.55,3676,522,39.4,1.3360182,0.55,3672,419,39.4,1.25429142,0.55,68.25001,61.8750038,99.99747,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,63,1.04500008,1.30500007,0,8,17,61,2835,10451.9824,1241,1245,40,40,96,48,0,2,83.682,83.863,1.09,11969.5039,387.8125,92.8943939,0,0,0,0.09694173,0,0,0,0,0,0.0237428844,0,0,0,74.65625,66,16376,4105,12270,74.92822,247.374,1.45094963E+09,198299648
05/24/2026 19:51:59,80,25,0,45,76,76,76,76,76,87,12.048,5.02000046,1.30800009,1.39200008,1.03000009,0.352000028,0.578,3.28000021,2.046,0,3.364,3.364,3.108,68,51,54,51.5,1666,424,0,549,0,0,0,0,0,0,43.75,29.69,15.87,14.29,19.05,65.62,12.7,11.11,26.51,65.62,43.7151146,3566,1188,4850,2240,48.5,2.64304757,0.61875,3233,1380,32.3333321,2.214993,0.61875,3096,673,32.3333321,1.53338385,0.61875,3054,553,32.3333321,1.36768985,0.61875,3138,862,32.3333321,1.73755229,0.61875,4975,3027,49.75,2.89722776,0.625,3075,400,33.1666679,1.21359444,0.625,3105,366,33.1666679,1.16490328,0.625,68.00001,62.3750038,99.9975,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,63,1.03000009,1.30500007,0,9,16,61,2835,10451.9824,1277,1282,41,41,97,50,0,2,84.986,88.565,1.09,11969.5039,387.960938,93.0411453,0,0,0,0.07954876,0,0,0,0,0,0.009650146,0,0,0,70.34375,66,16376,4105,12270,74.92822,244.308,1.0091991E+09,259599360
