,/lpc/nct6687dr/0/control/0,/lpc/nct6687dr/0/control/1,/lpc/nct6687dr/0/control/2,/lpc/nct6687dr/0/control/10,/lpc/nct6687dr/0/control/11,/lpc/nct6687dr/0/control/12,/lpc/nct6687dr/0/control/13,/lpc/nct6687dr/0/control/14,/lpc/nct6687dr/0/control/15,/lpc/nct6687dr/0/control/3,/lpc/nct6687dr/0/voltage/0,/lpc/nct6687dr/0/voltage/1,/lpc/nct6687dr/0/voltage/2,/lpc/nct6687dr/0/voltage/3,/lpc/nct6687dr/0/voltage/4,/lpc/nct6687dr/0/voltage/5,/lpc/nct6687dr/0/voltage/6,/lpc/nct6687dr/0/voltage/8,/lpc/nct6687dr/0/voltage/9,/lpc/nct6687dr/0/voltage/10,/lpc/nct6687dr/0/voltage/11,/lpc/nct6687dr/0/voltage/12,/lpc/nct6687dr/0/voltage/13,/lpc/nct6687dr/0/temperature/0,/lpc/nct6687dr/0/temperature/1,/lpc/nct6687dr/0/temperature/2,/lpc/nct6687dr/0/temperature/3,/lpc/nct6687dr/0/fan/0,/lpc/nct6687dr/0/fan/1,/lpc/nct6687dr/0/fan/2,/lpc/nct6687dr/0/fan/10,/lpc/nct6687dr/0/fan/11,/lpc/nct6687dr/0/fan/12,/lpc/nct6687dr/0/fan/13,/lpc/nct6687dr/0/fan/14,/lpc/nct6687dr/0/fan/15,/lpc/nct6687dr/0/fan/3,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/clock/15,/amdcpu/0/clock/16,/amdcpu/0/factor/6,/amdcpu/0/power/7,/amdcpu/0/voltage/8,/amdcpu/0/clock/17,/amdcpu/0/clock/18,/amdcpu/0/factor/7,/amdcpu/0/power/8,/amdcpu/0/voltage/9,/amdcpu/0/temperature/2,/amdcpu/0/temperature/3,/amdcpu/0/clock/0,/gpu-amd/0/smalldata/2,/gpu-amd/0/factor/0,/gpu-amd/0/smalldata/5,/gpu-amd/0/smalldata/4,/gpu-amd/0/smalldata/3,/gpu-amd/0/smalldata/6,/gpu-amd/0/smalldata/7,/gpu-amd/0/smalldata/8,/gpu-amd/0/load/2,/gpu-amd/0/load/5,/gpu-amd/0/load/3,/gpu-amd/0/load/4,/gpu-amd/0/load/9,/gpu-amd/0/load/8,/gpu-amd/0/load/7,/gpu-amd/0/load/6,/gpu-amd/0/load/12,/gpu-amd/0/load/11,/gpu-amd/0/load/10,/gpu-amd/0/smalldata/0,/gpu-amd/0/smalldata/1,/gpu-amd/0/clock/0,/gpu-amd/0/clock/1,/gpu-amd/0/clock/2,/gpu-amd/0/temperature/4,/gpu-amd/0/voltage/0,/gpu-amd/0/voltage/2,/gpu-amd/0/load/0,/gpu-amd/0/power/0,/gpu-amd/0/power/2,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/fan/1,/gpu-nvidia/0/fan/2,/gpu-nvidia/0/control/1,/gpu-nvidia/0/control/2,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/load/4,/gpu-nvidia/0/load/5,/gpu-nvidia/0/voltage/0,/gpu-nvidia/0/smalldata/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/15,/gpu-nvidia/0/load/17,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/16,/gpu-nvidia/0/load/18,/gpu-nvidia/0/load/19,/gpu-nvidia/0/load/14,/gpu-nvidia/0/load/20,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/12,/gpu-nvidia/0/load/13,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/temperature/3,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1
Time,"CPU Fan","Pump Fan","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","+12V","+5V","CPU Northbridge/SoC","DIMM","Vcore","Chipset","CPU System Agent","+3.3V","VREF","+1.8V","+3V Standby","AVSB","CMOS Battery","CPU Core","System","VRM MOS","Chipset","CPU Fan","Pump Fan #1","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core Max","Package","Cores (Average)","Cores (Average Effective)","Core #1","Core #1 (Effective)","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2 (Effective)","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3 (Effective)","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4 (Effective)","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5 (Effective)","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6 (Effective)","Core #6","Core #6 (SMU)","Core #6 VID","Core #7","Core #7 (Effective)","Core #7","Core #7 (SMU)","Core #7 VID","Core #8","Core #8 (Effective)","Core #8","Core #8 (SMU)","Core #8 VID","Core (Tctl/Tdie)","CCD1 (Tdie)","Bus Speed","GPU Memory Total","Fullscreen FPS","D3D Dedicated Memory Total","D3D Dedicated Memory Free","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D Shared Memory Free","D3D Shared Memory Total","D3D 3D","D3D Copy","D3D Compute 0","D3D Compute 1","D3D Timer 0","D3D Security 1","D3D High Priority Compute","D3D High Priority 3D","D3D Video JPEG 0","D3D Video Decode 1","D3D Video Codec 0","GPU Memory Used","GPU Memory Free","GPU Core","GPU SoC","GPU Memory","GPU VR SoC","GPU Core","GPU SoC","GPU Core","GPU Core","GPU SoC","GPU Core","GPU Core","GPU Memory","GPU Fan 1","GPU Fan 2","GPU Fan 1","GPU Fan 2","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","GPU Power","GPU Board Power","GPU Core Voltage","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D Video Encode","D3D Optical Flow Accelerator 0","D3D VR","D3D Copy","D3D Copy","D3D Copy","D3D Copy","GPU Hot Spot","GPU Memory Junction","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx"
05/26/2026 02:33:21,71,49,0,63,47,65,65,65,65,80,12.0960007,5.03,1.31000006,1.39200008,1.06000006,0.356,0.594000041,3.288,2.046,0,3.36800027,3.36800027,3.11600018,63,50,51.5,50.5,1550,605,0,957,578,0,0,0,0,0,61.9,12.7,6.35,4.76,7.94,61.9,0,0,19.44,61.9,40.7925224,3930,974,5050,2972,50.5,2.48942018,0.525,4040,671,40.4,1.081999,0.525,4040,300,40.4,0.435142,0.525,3855,167,40.4,0.2961541,0.525,3367,450,33.6666679,0.585822642,0.525,5050,3113,50.5,2.60282874,0.525,3110,73,33.6666679,0.170868739,0.525,2927,42,33.6666679,0.115233459,0.525,63.6250076,53.1250038,99.99824,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,56,1.064,1.30500007,0,9,16,48,2835,10451.9824,1000,1001,30,30,0,1,0,0,21.575,22.898,1.085,9830.934,392.886719,0.577391744,0,0,0,0,0,0,0,0,0,0.25630483,0,0,0,59.625,60,16376,6244,10131,61.8669968,67.157,49152,0
05/26/2026 02:33:23,72,49,0,67,47,68,68,68,68,82,12.12,5.03,1.30800009,1.39200008,1.062,0.346000016,0.594000041,3.28400016,2.046,0,3.36800027,3.36800027,3.11600018,64,50,51.5,50.5,1560,628,0,962,592,0,0,0,0,0,46.88,25.4,10.94,6.25,15.62,73.02,6.25,4.69,23.63,73.02,41.01674,4460,1201,4040,2444,40.4,2.15506315,0.53125,4040,1262,40.4,1.48069656,0.53125,4040,581,40.4,0.7961671,0.53125,5050,395,50.5,0.5686599,0.51875,5050,793,50.5,1.03110337,0.51875,5050,3507,50.5,2.976968,0.49375,3358,258,33.6666679,0.4469943,0.49375,5050,365,50.5,0.4951773,0.49375,64.75001,54.7500038,99.9982147,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,56,1.064,1.30500007,0,9,16,47,2670,10451.9824,1000,1001,30,30,0,1,0,0,18.189,19.436,0.975,8615.039,541.902344,0.521690667,0,0,0,1.0661726,0,0,0,0,0,3.601094,0,0,0,58.5625,58,16376,7460,8915,54.4416656,48.553,0,538749952
05/26/2026 02:33:25,73,49,0,70,47,71,71,71,71,85,12.0960007,5.03,1.30800009,1.39200008,1.07800007,0.34800002,0.594000041,3.28400016,2.046,0,3.36800027,3.36800027,3.11600018,73,50,51.5,50.5,1606,628,0,1010,591,0,0,0,0,0,14.06,0,0,0,0,93.75,0,0,13.48,93.75,44.59602,3338,711,4040,664,40.4,0.6903462,0.5375,3741,135,40.4,0.16049163,0.5375,2773,32,33.6666679,0.0368649848,0.5375,2749,30,33.6666679,0.0363491774,0.5375,2803,44,33.6666679,0.0491988249,0.5375,5050,4733,50.5,5.07851,0.525,2850,33,33.6666679,0.03207675,0.525,2696,15,33.6666679,0.0273705665,0.525,71.87501,67,99.99822,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,55,1.069,1.30500007,0,9,16,47,2670,10451.9824,1001,1001,30,30,0,1,0,0,16.429,16.933,0.975,8786.969,563.402344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.125,58,16376,7288,9087,55.4912224,47.266,99328,0
05/26/2026 02:33:27,74,49,0,74,47,75,75,75,75,89,12.0960007,5.03,1.31000006,1.39200008,1.05800009,0.34800002,0.594000041,3.28400016,2.046,0,3.36800027,3.36800027,3.11600018,69,50,51,50.5,1606,605,0,1023,577,0,0,0,0,0,43.75,15.62,6.25,1.56,9.38,51.56,1.56,1.56,16.41,51.56,42.05776,3965,1004,4850,2377,48.5,2.4690392,0.63125,4850,1227,48.5,1.77829,0.65,3166,485,32.3333321,1.02462637,0.65,3123,327,32.3333321,0.8451841,0.65,4760,659,48.5,1.23509777,0.65,4850,2492,48.5,2.49840164,0.65,3057,237,32.3333321,0.737515867,0.65,3065,231,32.3333321,0.69959,0.65,69.25001,53.1250038,99.99822,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,55,0.969000041,1.30500007,0,5,16,51,2835,10451.9824,999,1002,30,30,69,53,0,1,58.427,63.838,1.085,10495.8711,393.042969,35.66438,0,0,0,1.8829639,0,0,0,0,0,4.95630836,0,0,0,59.78125,62,16376,5579,10796,65.92785,89.454,367149056,56899584
05/26/2026 02:33:29,75,49,0,76,47,76,76,76,76,87,12.0960007,5.03,1.31000006,1.39200008,1.064,0.346000016,0.594000041,3.28400016,2.046,0,3.36800027,3.36800027,3.11600018,67,50.5,51,50.5,1655,627,0,1079,591,0,0,0,0,0,80.95,17.46,6.35,9.38,14.29,53.97,4.69,7.81,24.36,80.95,44.85419,4108,1323,4040,3719,40.4,3.98689437,0.5375,4040,1428,40.4,2.04864764,0.5375,4040,641,40.4,1.37669551,0.5375,3960,502,40.4,1.23856986,0.5375,4016,919,40.4,1.61941612,0.5375,5050,2772,50.5,3.05376339,0.53125,3830,320,40.4,1.022183,0.53125,3885,285,40.4,0.9819439,0.53125,67.50001,61.7500038,99.99823,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,55,1.064,1.30500007,0,12,16,51,2835,10451.9824,999,998,30,30,35,27,0,0,45.64,43.76,1.085,10560.125,393.042969,31.00179,0,0,0,0.39628768,0,0,0,0,0,0,0,0,0,60.09375,62,16376,5515,10860,66.32019,117.796,124049408,23349248
05/26/2026 02:33:31,76,49,0,73,47,73,73,73,73,85,12.0960007,5.03,1.31000006,1.39200008,1.062,0.344,0.594000041,3.288,2.046,0,3.36800027,3.36800027,3.12000012,66,50.5,51,50.5,1668,604,0,1089,577,0,0,0,0,0,73.44,20.31,7.81,1.56,12.5,51.56,1.56,3.12,21.48,73.44,43.5998421,4186,1123,5050,3532,50.5,3.81922817,0.53125,5025,1001,50.25,1.67826736,0.525,3824,475,40.4,1.19429231,0.54375,3158,329,33.6666679,1.03897142,0.54375,3842,694,40.4,1.3890332,0.54375,5050,2494,50.5,2.82148457,0.525,3759,245,40.2,0.940733433,0.51875,3783,215,40.2,0.9117371,0.51875,66.37501,53.6250038,99.99823,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,55,1.064,1.30500007,0,17,16,52,2835,10451.9824,1001,999,30,30,42,31,0,0,49.479,50.338,1.085,10592.0039,393.042969,40.0497932,0,0,0,0.3752077,0,0,0,0,0,0,0,0,0,60.78125,62,16376,5483,10892,66.51483,142.294,113699840,1.659904E+07
05/26/2026 02:33:33,77,49,0,71,47,71,71,71,71,84,12.0960007,5.03,1.31000006,1.396,1.062,0.356,0.594000041,3.288,2.046,0,3.37200022,3.36800027,3.11600018,65,50.5,51.5,50.5,1666,627,0,1072,576,0,0,0,0,0,59.38,32.81,9.38,4.69,15.62,57.81,1.56,4.69,23.24,59.38,45.55861,4350,1175,5050,2760,50.5,3.04462337,0.5125,5050,1530,50.5,2.07408857,0.5125,3803,508,40.4,1.26361334,0.5125,3698,357,40.4,1.08136141,0.5125,4862,824,50.5,1.54506874,0.5125,5050,2994,50.5,2.96574545,0.5125,3628,213,40.4,0.94570756,0.5125,3657,212,40.4,0.933150947,0.5125,65.75001,54.1250038,99.99824,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,55,0.979000032,1.30500007,0,8,16,54,2835,10451.9824,1000,999,30,30,49,34,0,0,53.155,53.737,1.085,10592.0039,393.042969,43.06632,0,0,0,0.2324367,0,0,0,0,0,0,0,0,0,61,62,16376,5483,10892,66.51483,147.496,102999040,1.894912E+07
05/26/2026 02:33:35,76,49,0,67,47,68,68,68,68,82,12.0960007,5.03,1.31000006,1.39200008,1.06000006,0.34800002,0.594000041,3.288,2.046,0,3.36800027,3.36800027,3.12000012,64,50,51.5,50.5,1673,604,0,1025,592,0,0,0,0,0,58.46,23.08,16.92,7.69,21.54,67.69,1.54,6.15,25.38,67.69,44.3819656,4347,1382,5050,2920,50.5,2.90813923,0.54375,5050,1759,50.5,2.23379326,0.54375,4040,793,40.4,1.50605834,0.54375,3964,563,40.4,1.30255413,0.54375,4040,1098,40.4,1.761483,0.54375,5050,3210,50.5,3.376454,0.54375,3753,384,40.4,1.11302555,0.54375,3830,332,40.4,1.03646719,0.54375,64.12501,53.1250038,99.99823,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,55,1.079,1.30500007,0,13,16,55,2835,10451.9824,1000,998,30,30,50,34,0,0,55.622,53.379,1.085,10592.0039,393.042969,44.826107,0,0,0,0.280637771,0,0,0,0,0,0,0,0,0,61.3125,62,16376,5483,10892,66.51483,156.586,9.564979E+07,25549824
05/26/2026 02:33:37,75,49,0,65,47,67,67,67,67,81,12.0960007,5.03,1.31000006,1.39200008,1.062,0.352000028,0.594000041,3.288,2.046,0,3.37200022,3.37200022,3.11600018,63,50.5,51.5,50.5,1652,627,0,1028,576,0,0,0,0,0,53.12,21.88,12.5,15.62,18.75,57.81,12.5,10.94,25.39,57.81,43.62722,4100,1159,5050,2590,50.5,2.54242349,0.51875,5050,1304,50.5,1.91233778,0.51875,3858,501,40.4,1.24128067,0.51875,3675,367,40.4,1.0752461,0.51875,3873,804,40.4,1.47553277,0.525,4040,3252,40.4,3.40564513,0.525,3632,251,40.4,0.946038246,0.525,3625,203,40.4,0.9210049,0.525,63.6250076,53.7500038,99.99823,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,56,1.05500007,1.30500007,0,5,16,55,2835,10451.9824,999,999,30,30,51,35,0,0,55.954,56.267,1.085,10592.0039,393.042969,45.7952042,0,0,0,0.228762344,0,0,0,0,0,0,0,0,0,63,62,16376,5483,10892,66.51483,157.552,9.07991E+07,25949184
