,/lpc/nct6687dr/0/control/0,/lpc/nct6687dr/0/control/1,/lpc/nct6687dr/0/control/2,/lpc/nct6687dr/0/control/10,/lpc/nct6687dr/0/control/11,/lpc/nct6687dr/0/control/12,/lpc/nct6687dr/0/control/13,/lpc/nct6687dr/0/control/14,/lpc/nct6687dr/0/control/15,/lpc/nct6687dr/0/control/3,/lpc/nct6687dr/0/voltage/0,/lpc/nct6687dr/0/voltage/1,/lpc/nct6687dr/0/voltage/2,/lpc/nct6687dr/0/voltage/3,/lpc/nct6687dr/0/voltage/4,/lpc/nct6687dr/0/voltage/5,/lpc/nct6687dr/0/voltage/6,/lpc/nct6687dr/0/voltage/8,/lpc/nct6687dr/0/voltage/9,/lpc/nct6687dr/0/voltage/10,/lpc/nct6687dr/0/voltage/11,/lpc/nct6687dr/0/voltage/12,/lpc/nct6687dr/0/voltage/13,/lpc/nct6687dr/0/temperature/0,/lpc/nct6687dr/0/temperature/1,/lpc/nct6687dr/0/temperature/2,/lpc/nct6687dr/0/temperature/3,/lpc/nct6687dr/0/fan/0,/lpc/nct6687dr/0/fan/1,/lpc/nct6687dr/0/fan/2,/lpc/nct6687dr/0/fan/10,/lpc/nct6687dr/0/fan/11,/lpc/nct6687dr/0/fan/12,/lpc/nct6687dr/0/fan/13,/lpc/nct6687dr/0/fan/14,/lpc/nct6687dr/0/fan/15,/lpc/nct6687dr/0/fan/3,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/clock/15,/amdcpu/0/clock/16,/amdcpu/0/factor/6,/amdcpu/0/power/7,/amdcpu/0/voltage/8,/amdcpu/0/clock/17,/amdcpu/0/clock/18,/amdcpu/0/factor/7,/amdcpu/0/power/8,/amdcpu/0/voltage/9,/amdcpu/0/temperature/2,/amdcpu/0/temperature/3,/amdcpu/0/clock/0,/gpu-amd/0/smalldata/2,/gpu-amd/0/factor/0,/gpu-amd/0/smalldata/5,/gpu-amd/0/smalldata/4,/gpu-amd/0/smalldata/3,/gpu-amd/0/smalldata/6,/gpu-amd/0/smalldata/7,/gpu-amd/0/smalldata/8,/gpu-amd/0/load/2,/gpu-amd/0/load/5,/gpu-amd/0/load/3,/gpu-amd/0/load/4,/gpu-amd/0/load/9,/gpu-amd/0/load/8,/gpu-amd/0/load/7,/gpu-amd/0/load/6,/gpu-amd/0/load/12,/gpu-amd/0/load/11,/gpu-amd/0/load/10,/gpu-amd/0/smalldata/0,/gpu-amd/0/smalldata/1,/gpu-amd/0/clock/0,/gpu-amd/0/clock/1,/gpu-amd/0/clock/2,/gpu-amd/0/temperature/4,/gpu-amd/0/voltage/0,/gpu-amd/0/voltage/2,/gpu-amd/0/load/0,/gpu-amd/0/power/0,/gpu-amd/0/power/2,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/fan/1,/gpu-nvidia/0/fan/2,/gpu-nvidia/0/control/1,/gpu-nvidia/0/control/2,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/load/4,/gpu-nvidia/0/load/5,/gpu-nvidia/0/voltage/0,/gpu-nvidia/0/smalldata/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/15,/gpu-nvidia/0/load/17,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/16,/gpu-nvidia/0/load/18,/gpu-nvidia/0/load/19,/gpu-nvidia/0/load/14,/gpu-nvidia/0/load/20,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/12,/gpu-nvidia/0/load/13,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/temperature/3,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1
Time,"CPU Fan","Pump Fan","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","+12V","+5V","CPU Northbridge/SoC","DIMM","Vcore","Chipset","CPU System Agent","+3.3V","VREF","+1.8V","+3V Standby","AVSB","CMOS Battery","CPU Core","System","VRM MOS","Chipset","CPU Fan","Pump Fan #1","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core Max","Package","Cores (Average)","Cores (Average Effective)","Core #1","Core #1 (Effective)","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2 (Effective)","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3 (Effective)","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4 (Effective)","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5 (Effective)","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6 (Effective)","Core #6","Core #6 (SMU)","Core #6 VID","Core #7","Core #7 (Effective)","Core #7","Core #7 (SMU)","Core #7 VID","Core #8","Core #8 (Effective)","Core #8","Core #8 (SMU)","Core #8 VID","Core (Tctl/Tdie)","CCD1 (Tdie)","Bus Speed","GPU Memory Total","Fullscreen FPS","D3D Dedicated Memory Total","D3D Dedicated Memory Free","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D Shared Memory Free","D3D Shared Memory Total","D3D 3D","D3D Copy","D3D Compute 0","D3D Compute 1","D3D Timer 0","D3D Security 1","D3D High Priority Compute","D3D High Priority 3D","D3D Video JPEG 0","D3D Video Decode 1","D3D Video Codec 0","GPU Memory Used","GPU Memory Free","GPU Core","GPU SoC","GPU Memory","GPU VR SoC","GPU Core","GPU SoC","GPU Core","GPU Core","GPU SoC","GPU Core","GPU Core","GPU Memory","GPU Fan 1","GPU Fan 2","GPU Fan 1","GPU Fan 2","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","GPU Power","GPU Board Power","GPU Core Voltage","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D Video Encode","D3D Optical Flow Accelerator 0","D3D VR","D3D Copy","D3D Copy","D3D Copy","D3D Copy","GPU Hot Spot","GPU Memory Junction","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx"
05/26/2026 14:14:13,47,50,0,54,60,63,63,63,63,81,12.144001,5.04,1.312,1.39200008,0.994,0.31,0.694,3.292,2.046,0,3.37200022,3.37200022,3.124,66,43,42.5,43.5,1066,627,0,858,762,0,0,0,0,0,42.42,13.64,7.46,5.97,7.46,36.36,2.99,0,14.54,42.42,34.3954353,3835,611,5050,2397,50.5,1.81337857,0.525,4040,533,40.4,0.5775054,0.525,3833,99,40.4,0.09262817,0.525,3742,98,40.4,0.07571434,0.50625,3228,202,33.6666679,0.261842966,0.50625,5050,1494,50.5,1.64202881,0.50625,2943,36,33.6666679,0.0290524885,0.50625,2793,30,33.6666679,0.0219672378,0.50625,65.62501,50.5000038,99.9981842,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,49,1.06000006,1.30500007,0,13,15,37,210,405,0,0,0,0,0,46,0,0,7.199,7.804,0.88,1156.65625,153.2539,1.13471615,0,0,0,0,0,0,0,0,0,0,0,0,0,48.28125,44,16376,14910,1465,8.946877,18.702,1249280,0
05/26/2026 14:14:15,49,51,0,55,60,67,67,67,67,82,12.144001,5.04,1.312,1.39200008,1.0480001,0.316,0.694,3.292,2.046,0,3.37200022,3.37200022,3.12000012,62,43,42.5,43.5,1084,634,0,865,754,0,0,0,0,0,44.62,18.18,7.69,1.54,12.5,46.15,1.54,1.54,16.72,46.15,35.6792145,4149,728,4040,2196,40.4,1.989585,0.49375,5000,863,50,1.08315277,0.49375,4881,164,50.5,0.16745095,0.50625,3581,74,40.4,0.0578246824,0.50625,4955,378,50.5,0.419554025,0.50625,5050,2089,50.5,1.96960652,0.5375,2890,33,33.6666679,0.0373862945,0.575,2795,31,33.6666679,0.0245541818,0.575,61.8750076,54.2500038,99.9982,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,49,1.0200001,1.30500007,0,6,15,37,210,405,0,0,0,0,0,21,0,0,5.184,5.677,0.88,1156.65625,153.2539,3.134145,0,0,0,0.00128036726,0,0,0,0,0,0,0,0,0,48.375,44,16376,14910,1465,8.946877,16.761,949248,749568
05/26/2026 14:14:17,50,51,0,56,61,63,63,63,63,78,12.144001,5.04,1.312,1.39200008,1.024,0.326,0.694,3.292,2.046,0,3.37200022,3.37200022,3.124,59,43,42.5,43.5,1096,639,0,870,787,0,0,0,0,0,40.3,10.45,6.06,3.03,6.06,31.34,3.03,3.03,12.91,40.3,34.8964157,3721,601,4850,2201,48.5,1.79647613,0.64375,4850,542,48.5,0.621721447,0.64375,3037,110,32.3333321,0.10848701,0.64375,2948,65,32.3333321,0.06442261,0.64375,3115,192,32.3333321,0.242937058,0.64375,5050,1627,50.5,1.4977448,0.525,2887,35,33.6666679,0.04348544,0.525,3028,39,33.6666679,0.0417046,0.525,59.1250076,45.8750038,99.9982,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,49,1.05500007,1.30500007,0,4,15,37,210,405,0,0,0,0,0,22,0,0,5.212,5.646,0.88,1156.65234,152.207031,2.85551763,0,0,0,0,0,0,0,0,0,0.0315060355,0,0,0,48.375,44,16376,14910,1465,8.946877,15.06,399360,0
05/26/2026 14:14:19,50,51,0,56,62,59,59,59,59,74,12.144001,5.04,1.312,1.39200008,0.964000046,0.312,0.694,3.292,2.046,0,3.37200022,3.37200022,3.124,58,43,42.5,43.5,1121,664,0,891,778,0,0,0,0,0,34.38,7.81,4.69,4.69,4.69,23.44,0,26.56,13.28,34.38,35.5993919,3559,677,4850,1583,48.5,1.54551113,0.65,3233,472,32.3333321,0.6005695,0.65,3233,200,32.3333321,0.213553816,0.65,3233,297,32.3333321,0.3462973,0.65,3007,205,32.3333321,0.285242617,0.65,4850,1347,48.5,1.5839529,0.65,2830,60,32.3333321,0.04228031,0.65,3233,1253,32.3333321,1.23253965,0.65,58.3750076,45.8750038,99.9982,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,48,0.965000033,1.30500007,0,2,15,37,210,405,0,0,0,0,0,21,0,0,5.836,7.206,0.88,1156.65234,152.207031,1.15711927,0,0,0,0.00131041813,0,0,0,0,0,0,0,0,0,48.34375,44,16376,14910,1465,8.946877,16.615,0,0
05/26/2026 14:14:21,49,51,0,57,63,56,56,56,56,72,12.144001,5.04,1.312,1.396,1.088,0.324,0.694,3.292,2.046,0,3.37600017,3.37600017,3.124,59,43,42.5,43.5,1109,664,0,904,808,0,0,0,0,0,9.38,6.25,3.12,3.12,3.12,6.25,3.12,56.25,11.33,56.25,29.4287071,3587,547,4040,464,40.4,0.7268535,0.4875,3367,307,33.6666679,0.329287469,0.5,3367,116,33.6666679,0.09786891,0.5,3367,121,33.6666679,0.106195927,0.5,3367,122,33.6666679,0.1324415,0.5,3367,282,33.6666679,0.311456472,0.5,2773,34,33.6666679,0.0247594323,0.5,5050,2931,50.5,3.17147064,0.5,57.0000076,46.2500038,99.9982,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,49,1.079,1.30500007,0,8,15,37,210,405,0,0,0,0,0,46,0,0,6.856,7.304,0.88,1156.65234,152.207031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.40625,46,16376,14910,1465,8.946877,19.777,49152,0
05/26/2026 14:14:23,49,51,0,58,63,59,59,59,59,76,12.144001,5.04,1.312,1.396,0.588,0.278000027,0.694,3.292,2.046,0,3.37600017,3.37600017,3.124,60,43,42.5,43.5,1098,640,0,907,793,0,0,0,0,0,6.35,0,0,0,0,1.59,0,0,0.99,6.35,25.7193871,3170,91,4850,365,48.5,0.261828959,0.65,2769,56,32.3333321,0.03685605,0.65,2600,30,32.3333321,0.010200128,0.65,2592,26,32.3333321,0.009945227,0.65,2677,35,32.3333321,0.0331529826,0.65,4502,159,48.5,0.148818344,0.65,2725,30,32.3333321,0.013631274,0.65,2649,30,32.3333321,0.009406196,0.65,59.8750076,41.0000038,99.99819,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,46,0.675,1.30500007,0,4,15,37,210,405,0,0,0,0,0,41,0,0,5.917,6.032,0.88,1156.65234,152.207031,0.01823674,0,0,0,0,0,0,0,0,0,0,0,0,0,48.40625,44,16376,14910,1465,8.946877,17.612,0,0
05/26/2026 14:14:25,50,51,0,58,64,58,58,58,58,74,12.144001,5.04,1.312,1.39200008,0.704000056,0.3,0.694,3.292,2.046,0,3.37600017,3.37200022,3.124,57,43,42.5,43.5,1115,664,0,896,821,0,0,0,0,0,12.5,0,0,0,3.12,7.81,1.56,6.25,3.91,12.5,27.7966938,3484,241,4850,677,48.5,0.532293856,0.65,2968,127,32.3333321,0.142201692,0.65,2699,36,32.3333321,0.0263182465,0.65,2804,45,32.3333321,0.0183411539,0.65,3233,226,32.3333321,0.216221586,0.65,4850,420,48.5,0.443352729,0.65,3233,87,32.3333321,0.06574323,0.65,3233,310,32.3333321,0.2888335,0.65,56.7500076,43.5000038,99.9982,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,47,0.565,1.30500007,0,0,13,37,210,405,0,0,0,0,0,46,0,0,6.967,7.853,0.88,1156.65234,152.207031,0.009497208,0,0,0,0,0,0,0,0,0,0,0,0,0,48.53125,44,16376,14910,1465,8.946877,15.931,0,0
05/26/2026 14:14:27,49,51,0,57,63,54,54,54,54,70,12.144001,5.04,1.31000006,1.39200008,0.710000038,0.30400002,0.694,3.292,2.046,0,3.37200022,3.37200022,3.12000012,54,43,42,43.5,1111,664,0,922,810,0,0,0,0,0,4.69,0,0,0,0,3.12,0,0,0.98,4.69,25.820982,3122,89,4850,345,48.5,0.215916365,0.65,2653,48,32.3333321,0.02357259,0.65,2565,28,32.3333321,0.0110290973,0.65,2567,28,32.3333321,0.00881104,0.65,2590,34,32.3333321,0.0126709454,0.65,4571,184,48.5,0.137637943,0.65,2527,21,32.3333321,0.008414067,0.65,2655,25,32.3333321,0.00904118549,0.65,54.2500076,41.5000038,99.9981842,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,46,0.62,1.30500007,0,2,14,38,210,405,0,0,0,0,0,41,0,0,6.814,6.918,0.88,1156.65234,152.207031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.5625,44,16376,14910,1465,8.946877,19.538,0,0
05/26/2026 14:14:29,48,51,0,56,62,50,50,50,50,67,12.144001,5.04,1.312,1.396,0.574,0.276000023,0.694,3.292,2.046,0,3.37600017,3.37200022,3.12000012,52,43,42,43.5,1083,640,0,896,822,0,0,0,0,0,9.23,0,0,0,0,0,0,0,1.15,9.23,26.0479755,3166,88,4850,354,48.5,0.267158568,0.64375,2687,47,32.3333321,0.02993126,0.64375,2611,23,32.3333321,0.0136563275,0.64375,2618,29,32.3333321,0.010459194,0.64375,2729,37,32.3333321,0.0211054515,0.64375,4651,175,48.5,0.1376651,0.64375,2581,20,32.3333321,0.008691892,0.64375,2598,19,32.3333321,0.008539153,0.64375,52.5000076,39.625,99.9982,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,46,0.570000052,1.30500007,0,0,13,38,210,405,0,0,0,0,0,41,0,0,6.345,6.717,0.88,1156.65234,152.207031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.5625,44,16376,14910,1465,8.946877,19.404,0,0
