,/lpc/nct6687dr/0/control/0,/lpc/nct6687dr/0/control/1,/lpc/nct6687dr/0/control/2,/lpc/nct6687dr/0/control/10,/lpc/nct6687dr/0/control/11,/lpc/nct6687dr/0/control/12,/lpc/nct6687dr/0/control/13,/lpc/nct6687dr/0/control/14,/lpc/nct6687dr/0/control/15,/lpc/nct6687dr/0/control/3,/lpc/nct6687dr/0/voltage/0,/lpc/nct6687dr/0/voltage/1,/lpc/nct6687dr/0/voltage/2,/lpc/nct6687dr/0/voltage/3,/lpc/nct6687dr/0/voltage/4,/lpc/nct6687dr/0/voltage/5,/lpc/nct6687dr/0/voltage/6,/lpc/nct6687dr/0/voltage/8,/lpc/nct6687dr/0/voltage/9,/lpc/nct6687dr/0/voltage/10,/lpc/nct6687dr/0/voltage/11,/lpc/nct6687dr/0/voltage/12,/lpc/nct6687dr/0/voltage/13,/lpc/nct6687dr/0/temperature/0,/lpc/nct6687dr/0/temperature/1,/lpc/nct6687dr/0/temperature/2,/lpc/nct6687dr/0/temperature/3,/lpc/nct6687dr/0/fan/0,/lpc/nct6687dr/0/fan/1,/lpc/nct6687dr/0/fan/2,/lpc/nct6687dr/0/fan/10,/lpc/nct6687dr/0/fan/11,/lpc/nct6687dr/0/fan/12,/lpc/nct6687dr/0/fan/13,/lpc/nct6687dr/0/fan/14,/lpc/nct6687dr/0/fan/15,/lpc/nct6687dr/0/fan/3,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/clock/15,/amdcpu/0/clock/16,/amdcpu/0/factor/6,/amdcpu/0/power/7,/amdcpu/0/voltage/8,/amdcpu/0/clock/17,/amdcpu/0/clock/18,/amdcpu/0/factor/7,/amdcpu/0/power/8,/amdcpu/0/voltage/9,/amdcpu/0/temperature/2,/amdcpu/0/temperature/3,/amdcpu/0/clock/0,/gpu-amd/0/smalldata/2,/gpu-amd/0/factor/0,/gpu-amd/0/smalldata/5,/gpu-amd/0/smalldata/4,/gpu-amd/0/smalldata/3,/gpu-amd/0/smalldata/6,/gpu-amd/0/smalldata/7,/gpu-amd/0/smalldata/8,/gpu-amd/0/load/2,/gpu-amd/0/load/5,/gpu-amd/0/load/3,/gpu-amd/0/load/4,/gpu-amd/0/load/9,/gpu-amd/0/load/8,/gpu-amd/0/load/7,/gpu-amd/0/load/6,/gpu-amd/0/load/12,/gpu-amd/0/load/11,/gpu-amd/0/load/10,/gpu-amd/0/smalldata/0,/gpu-amd/0/smalldata/1,/gpu-amd/0/clock/0,/gpu-amd/0/clock/1,/gpu-amd/0/clock/2,/gpu-amd/0/temperature/4,/gpu-amd/0/voltage/0,/gpu-amd/0/voltage/2,/gpu-amd/0/load/0,/gpu-amd/0/power/0,/gpu-amd/0/power/2,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/fan/1,/gpu-nvidia/0/fan/2,/gpu-nvidia/0/control/1,/gpu-nvidia/0/control/2,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/load/4,/gpu-nvidia/0/load/5,/gpu-nvidia/0/voltage/0,/gpu-nvidia/0/smalldata/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/15,/gpu-nvidia/0/load/17,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/16,/gpu-nvidia/0/load/18,/gpu-nvidia/0/load/19,/gpu-nvidia/0/load/14,/gpu-nvidia/0/load/20,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/12,/gpu-nvidia/0/load/13,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/temperature/3,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1,/vram/data/2,/vram/data/3,/vram/load/1,/ram/data/0,/ram/data/1,/ram/load/0,/memory/dimm/1/temperature/0,/memory/dimm/1/temperature/1,/memory/dimm/1/temperature/2,/memory/dimm/1/temperature/3,/memory/dimm/1/temperature/4,/memory/dimm/1/temperature/5,/memory/dimm/1/timing/20,/memory/dimm/1/timing/21,/memory/dimm/1/timing/22,/memory/dimm/1/timing/23,/memory/dimm/1/timing/24,/memory/dimm/1/timing/25,/memory/dimm/1/timing/26,/memory/dimm/1/timing/27,/memory/dimm/1/timing/28,/memory/dimm/1/timing/29,/memory/dimm/1/timing/30,/memory/dimm/1/timing/31,/memory/dimm/1/timing/32,/memory/dimm/1/timing/33,/memory/dimm/1/data/50,/memory/dimm/3/temperature/0,/memory/dimm/3/temperature/1,/memory/dimm/3/temperature/2,/memory/dimm/3/temperature/3,/memory/dimm/3/temperature/4,/memory/dimm/3/temperature/5,/memory/dimm/3/timing/20,/memory/dimm/3/timing/21,/memory/dimm/3/timing/22,/memory/dimm/3/timing/23,/memory/dimm/3/timing/24,/memory/dimm/3/timing/25,/memory/dimm/3/timing/26,/memory/dimm/3/timing/27,/memory/dimm/3/timing/28,/memory/dimm/3/timing/29,/memory/dimm/3/timing/30,/memory/dimm/3/timing/31,/memory/dimm/3/timing/32,/memory/dimm/3/timing/33,/memory/dimm/3/data/50
Time,"CPU Fan","Pump Fan","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","+12V","+5V","CPU Northbridge/SoC","DIMM","Vcore","Chipset","CPU System Agent","+3.3V","VREF","+1.8V","+3V Standby","AVSB","CMOS Battery","CPU Core","System","VRM MOS","Chipset","CPU Fan","Pump Fan #1","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core Max","Package","Cores (Average)","Cores (Average Effective)","Core #1","Core #1 (Effective)","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2 (Effective)","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3 (Effective)","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4 (Effective)","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5 (Effective)","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6 (Effective)","Core #6","Core #6 (SMU)","Core #6 VID","Core #7","Core #7 (Effective)","Core #7","Core #7 (SMU)","Core #7 VID","Core #8","Core #8 (Effective)","Core #8","Core #8 (SMU)","Core #8 VID","Core (Tctl/Tdie)","CCD1 (Tdie)","Bus Speed","GPU Memory Total","Fullscreen FPS","D3D Dedicated Memory Total","D3D Dedicated Memory Free","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D Shared Memory Free","D3D Shared Memory Total","D3D 3D","D3D Copy","D3D Compute 0","D3D Compute 1","D3D Timer 0","D3D Security 1","D3D High Priority Compute","D3D High Priority 3D","D3D Video JPEG 0","D3D Video Decode 1","D3D Video Codec 0","GPU Memory Used","GPU Memory Free","GPU Core","GPU SoC","GPU Memory","GPU VR SoC","GPU Core","GPU SoC","GPU Core","GPU Core","GPU SoC","GPU Core","GPU Core","GPU Memory","GPU Fan 1","GPU Fan 2","GPU Fan 1","GPU Fan 2","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","GPU Power","GPU Board Power","GPU Core Voltage","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D Video Encode","D3D Optical Flow Accelerator 0","D3D VR","D3D Copy","D3D Copy","D3D Copy","D3D Copy","GPU Hot Spot","GPU Memory Junction","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx","Memory Used","Memory Available","Memory","Memory Used","Memory Available","Memory","DIMM #1","Temperature Sensor Resolution","Thermal Sensor Low Limit","Thermal Sensor High Limit","Thermal Sensor Critical Low Limit","Thermal Sensor Critical High Limit","tCKAVGmin (Minimum Cycle Time)","tCKAVGmax (Maximum Cycle Time)","tAA (CAS Latency Time)","tRCD (RAS to CAS Delay Time)","tRP (Row Precharge Delay Time)","tRAS (Active to Precharge Delay Time)","tRC (Active to Active/Refresh Delay Time)","tWR (Write Recovery Time)","tRFC1 (Normal Refresh Recovery Time)","tRFC2 (Fine Granularity Refresh Recovery Time)","tRFCsb (Same Bank Refresh Recovery Time)","tRFC1_dlr (Normal Refresh Recovery Time 3DS)","tRFC2_dlr (Fine Granularity Refresh Recovery Time 3DS)","tRFCsb_dlr (Same Bank Refresh Recovery Time 3DS)","Capacity","DIMM #3","Temperature Sensor Resolution","Thermal Sensor Low Limit","Thermal Sensor High Limit","Thermal Sensor Critical Low Limit","Thermal Sensor Critical High Limit","tCKAVGmin (Minimum Cycle Time)","tCKAVGmax (Maximum Cycle Time)","tAA (CAS Latency Time)","tRCD (RAS to CAS Delay Time)","tRP (Row Precharge Delay Time)","tRAS (Active to Precharge Delay Time)","tRC (Active to Active/Refresh Delay Time)","tWR (Write Recovery Time)","tRFC1 (Normal Refresh Recovery Time)","tRFC2 (Fine Granularity Refresh Recovery Time)","tRFCsb (Same Bank Refresh Recovery Time)","tRFC1_dlr (Normal Refresh Recovery Time 3DS)","tRFC2_dlr (Fine Granularity Refresh Recovery Time 3DS)","tRFCsb_dlr (Same Bank Refresh Recovery Time 3DS)","Capacity"
05/26/2026 22:18:11,60,64,0,66,73,67,67,67,67,82,12.0960007,5.03,1.30800009,1.39200008,1.07600009,0.362000018,0.590000033,3.28000021,2.046,0,3.364,3.364,3.11200023,65,50.5,52.5,50.5,1336,823,0,988,940,0,0,0,0,0,56.25,23.44,10.94,10.77,12.5,75,3.12,10.77,25.35,75,42.9423523,4210,1185,3980,2296,39.8,2.34157562,0.50625,4975,1003,49.75,1.19563663,0.50625,4975,482,49.75,0.6466779,0.5375,3317,347,33.1666679,0.502012,0.5375,3980,476,39.8,0.8123295,0.5375,5050,4218,50.5,3.69830346,0.50625,3367,242,33.6666679,0.3089745,0.50625,4040,413,40.4,0.44513917,0.50625,65.62501,57.1250038,99.99749,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,59,1.064,1.30500007,0,12,19,46,2670,10451.9824,1036,1034,31,31,5,1,0,3,21.286,16.798,0.975,10742.0781,554.8672,1.322931,0,0,0,1.57875228,0,0,0,0,0,3.560534,0,0,0,57.46875,58,16376,5332,11043,67.4351959,59.833,449536,3849216,26.2412682,10.6394958,71.15164,9.857548,5.02321625,66.24356,46.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,45.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 22:18:13,61,64,0,67,74,71,71,71,71,85,12.0960007,5.03,1.30800009,1.39200008,1.062,0.356,0.592,3.28000021,2.046,0,3.364,3.364,3.11200023,75,50.5,52,50.5,1359,825,0,1003,960,0,0,0,0,0,37.29,6.78,1.69,0,0,67.8,0,1.69,14.41,67.8,40.5537224,4210,717,4040,1823,40.4,2.23415017,0.51875,4006,374,40.4,0.502198,0.51875,4939,151,50.5,0.223323032,0.51875,4658,81,50.5,0.166409776,0.51875,3666,131,40.4,0.260259241,0.51875,5050,3050,50.5,3.7935884,0.51875,3645,69,40.2,0.177286133,0.53125,3673,59,40.2,0.168786719,0.53125,75.50001,56.1250038,99.99749,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,57,1.064,1.30500007,0,13,17,45,2670,10451.9824,1028,1028,30,30,0,1,0,0,16.663,19.594,0.975,10742.0781,554.8672,0,0,0,0,0,0,0,0,0,0,0.0111958934,0,0,0,56.59375,56,16376,5332,11043,67.4351959,47.095,5.030492E+08,3.419996E+08,26.1343384,10.7464256,70.86171,9.754791,5.12597275,65.5530243,46.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,45.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 22:18:15,62,64,0,68,75,75,75,75,75,89,12.0720005,5.02000046,1.30800009,1.39200008,1.01,0.344,0.590000033,3.28000021,2.046,0,3.364,3.364,3.11200023,71,50.5,52.5,50.5,1380,823,0,1012,965,0,0,0,0,0,42.19,21.88,18.75,9.38,17.19,42.19,4.69,4.69,20.12,42.19,41.97133,3929,980,3920,2181,39.2,2.35350752,0.5125,4900,1280,49,1.83451343,0.5125,3944,573,39.8,1.20789146,0.53125,3193,438,33.1666679,1.01949859,0.53125,3973,738,39.8,1.36721706,0.53125,5050,1991,50.5,2.248887,0.51875,3197,333,33.6666679,0.919176459,0.51875,3256,304,33.6666679,0.8780496,0.51875,71.50001,57.3750038,99.99748,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,57,1.064,1.30500007,0,9,16,54,2835,10451.9824,1014,1014,30,30,78,57,0,1,74.256,81.056,1.085,12394.02,385.8672,56.8230743,0,0,0,0.714441955,0,0,0,0,0,0.9955335,0,0,0,60.9375,62,16376,3680,12695,77.5231552,139.88,7.942994E+08,189299712,27.2457161,9.635048,73.87514,9.306534,5.57423,62.5407,46.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,45.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 22:18:17,63,64,0,69,75,78,78,78,78,89,12.0720005,5.03,1.30800009,1.39200008,1.014,0.362000018,0.590000033,3.28000021,2.046,0,3.364,3.364,3.11200023,68,50.5,52.5,50.5,1400,821,0,1002,950,0,0,0,0,0,41.27,19.05,11.11,7.81,11.11,33.33,4.69,1.56,16.24,41.27,41.557827,3803,967,4000,2283,40,2.63618064,0.525,3333,1235,33.3333321,1.88315737,0.525,3333,574,33.3333321,1.27745461,0.525,3244,423,33.3333321,1.11601794,0.525,5000,819,50,1.50633657,0.525,5050,1790,50.5,2.22769928,0.5375,3238,328,33.6666679,1.02221632,0.5375,3228,282,33.6666679,0.960154057,0.5375,68.25001,56.1250038,99.99749,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,57,1.04000008,1.30500007,0,10,16,55,2835,10451.9824,1002,1003,30,30,73,55,0,1,71.16,77.181,1.09,12394.02,385.636719,71.86718,0,0,0,0.105959766,0,0,0,0,0,0.009263584,0,0,0,62.1875,62,16376,3680,12695,77.5231552,205.183,3.354491E+08,157299712,27.3093872,9.571377,74.04778,9.370235,5.51052856,62.96878,46.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,45.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 22:18:19,64,64,0,69,76,75,75,75,75,85,12.0720005,5.02000046,1.30800009,1.39200008,1.016,0.36,0.590000033,3.28400016,2.046,0,3.36800027,3.364,3.11200023,65,50.5,52,50.5,1410,852,0,1033,988,0,0,0,0,0,29.69,20.31,10.94,7.81,6.25,40.62,9.38,4.69,16.21,40.62,40.5202675,4209,857,5000,1773,50,2.10920668,0.50625,4000,1111,40,1.68259156,0.5125,3987,543,40.4,1.186266,0.55,3938,431,40.4,1.0771966,0.55,4040,698,40.4,1.33212066,0.55,5000,1653,50,2.00027227,0.51875,3842,356,40,1.01164353,0.51875,3867,293,40,0.946095645,0.51875,65.75001,56.1250038,99.99749,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,57,1.064,1.30500007,0,10,17,56,2835,10451.9824,999,997,30,30,79,58,0,1,72.892,34.869,1.09,12458.2734,385.636719,69.93543,0,0,0,0.0405316167,0,0,0,0,0,0.2250342,0,0,0,61.40625,62,16376,3616,12759,77.9155,208.485,9.099981E+07,3.08992E+07,27.1980515,9.682713,73.7459,9.336697,5.54406738,62.7433968,46.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,45.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 22:18:21,64,64,0,70,76,73,73,73,73,85,12.0720005,5.02000046,1.30600011,1.39200008,1.06000006,0.350000024,0.592,3.28000021,2.046,0,3.364,3.364,3.11200023,67,50.5,52.5,51,1411,852,0,1024,998,0,0,0,0,0,66.67,19.05,12.7,11.11,14.29,66.67,7.94,6.35,25.6,66.67,44.72503,3759,1210,5050,3048,50.5,3.292798,0.51875,4040,1057,40.4,1.83209515,0.51875,3203,579,33.6666679,1.37808955,0.525,3206,448,33.6666679,1.22616875,0.525,3211,782,33.6666679,1.56699312,0.525,5050,3184,50.5,3.68117046,0.51875,3151,339,33.6666679,1.11320126,0.51875,3160,243,33.6666679,1.00606012,0.51875,67.75001,58.0000038,99.99748,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,57,1.069,1.30500007,0,18,17,50,2775,10451.9824,1000,999,30,30,38,30,0,0,41.661,48.966,1.045,12458.2734,385.636719,34.92188,0,0,0,0.359001338,0,0,0,0,0,0,0,0,0,59.53125,60,16376,3616,12759,77.9155,124.167,140699648,19899392,27.1978683,9.682896,73.74541,9.336391,5.54437256,62.7413445,46.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,45.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 22:18:23,65,64,0,71,77,76,76,76,76,87,12.0960007,5.03,1.30800009,1.39200008,1.06000006,0.354,0.590000033,3.28400016,2.046,0,3.36800027,3.364,3.11200023,68,51,52.5,51,1428,855,0,1028,1005,0,0,0,0,0,64.06,14.06,3.12,3.12,4.69,68.75,1.56,0,19.92,68.75,44.60057,3761,1192,4040,2572,40.4,2.804794,0.51875,4040,1228,40.4,1.92184448,0.51875,3813,567,40.4,1.33007753,0.51875,3129,408,33.6666679,1.19594371,0.51875,3871,786,40.2,1.60729074,0.51875,4975,3468,49.75,4.0610795,0.51875,3100,277,33.6666679,1.05138171,0.5375,3118,229,33.6666679,1.00050473,0.5375,68.12501,61.7500038,99.99749,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,57,1.06000006,1.30500007,0,12,16,50,2835,10451.9824,999,999,30,30,43,33,0,0,44.974,42.563,1.085,12458.2734,385.636719,36.82907,0,0,0,0.2932123,0,0,0,0,0,0,0,0,0,59.84375,62,16376,3616,12759,77.9155,130.953,8.83497E+07,20999168,27.164814,9.71595,73.65578,9.305923,5.57484055,62.5365944,46.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,45.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 22:18:25,65,64,0,71,78,74,74,74,74,86,12.0960007,5.03,1.30800009,1.39200008,1.056,0.350000024,0.592,3.28000021,2.046,0,3.36800027,3.364,3.11200023,66,50.5,52.5,50.5,1431,855,0,1057,1009,0,0,0,0,0,72.31,24.62,15.38,4.62,21.54,63.08,4.62,3.08,26.15,72.31,43.4348869,4073,1172,3980,2720,39.8,2.73058462,0.54375,4975,1292,49.75,1.93899536,0.54375,3697,516,39.8,1.29470813,0.54375,3731,406,39.8,1.18925369,0.54375,3786,809,39.8,1.56247187,0.54375,4975,3057,49.75,3.35396338,0.54375,3697,301,40.4,1.05952036,0.54375,3743,271,40.4,1.03186691,0.54375,66.62501,55.6250038,99.99749,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,57,1.0150001,1.30500007,0,11,16,50,2835,10451.9824,998,1000,30,30,40,31,0,0,42.361,48.352,1.085,12458.2734,385.636719,36.88419,0,0,0,0.27088818,0,0,0,0,0,0,0,0,0,59.71875,60,16376,3616,12759,77.9155,128.555,8.604979E+07,2.56E+07,27.1948624,9.685902,73.73725,9.334892,5.54587173,62.73127,46.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,45.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
05/26/2026 22:18:27,64,64,0,70,77,72,72,72,72,85,12.0960007,5.02000046,1.30800009,1.39200008,1.06000006,0.362000018,0.592,3.28000021,2.046,0,3.36800027,3.364,3.11200023,65,50.5,52.5,50.5,1437,852,0,1064,1018,0,0,0,0,0,67.19,21.88,14.06,10.94,12.5,56.25,9.38,6.25,24.8,67.19,43.3367271,3919,1154,3980,2943,39.8,3.255476,0.53125,5000,1370,50,1.9422369,0.51875,3772,584,40,1.35983169,0.51875,3686,396,40,1.16189075,0.51875,3854,735,40,1.55373418,0.51875,4925,2695,49.25,2.68979859,0.53125,3081,290,33.6666679,1.05060625,0.525,3056,223,33.6666679,0.9632172,0.525,65.75001,59.3750038,99.99748,512,-1,485.785156,485.5,0.28515625,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,57,1.064,1.30500007,0,15,16,50,2835,10451.9824,998,998,30,30,42,32,0,0,44.822,41.561,1.085,12458.2734,385.636719,36.745472,0,0,0,0.238220662,0,0,0,0,0,0,0,0,0,59.8125,62,16376,3616,12759,77.9155,128.078,8.764928E+07,18649088,27.197197,9.683567,73.74358,9.335934,5.54483032,62.73827,46.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,45.75,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16
