,/lpc/nct6687dr/0/control/0,/lpc/nct6687dr/0/control/1,/lpc/nct6687dr/0/control/2,/lpc/nct6687dr/0/control/10,/lpc/nct6687dr/0/control/11,/lpc/nct6687dr/0/control/12,/lpc/nct6687dr/0/control/13,/lpc/nct6687dr/0/control/14,/lpc/nct6687dr/0/control/15,/lpc/nct6687dr/0/control/3,/lpc/nct6687dr/0/voltage/0,/lpc/nct6687dr/0/voltage/1,/lpc/nct6687dr/0/voltage/2,/lpc/nct6687dr/0/voltage/3,/lpc/nct6687dr/0/voltage/4,/lpc/nct6687dr/0/voltage/5,/lpc/nct6687dr/0/voltage/6,/lpc/nct6687dr/0/voltage/8,/lpc/nct6687dr/0/voltage/9,/lpc/nct6687dr/0/voltage/10,/lpc/nct6687dr/0/voltage/11,/lpc/nct6687dr/0/voltage/12,/lpc/nct6687dr/0/voltage/13,/lpc/nct6687dr/0/temperature/0,/lpc/nct6687dr/0/temperature/1,/lpc/nct6687dr/0/temperature/2,/lpc/nct6687dr/0/temperature/3,/lpc/nct6687dr/0/fan/0,/lpc/nct6687dr/0/fan/1,/lpc/nct6687dr/0/fan/2,/lpc/nct6687dr/0/fan/10,/lpc/nct6687dr/0/fan/11,/lpc/nct6687dr/0/fan/12,/lpc/nct6687dr/0/fan/13,/lpc/nct6687dr/0/fan/14,/lpc/nct6687dr/0/fan/15,/lpc/nct6687dr/0/fan/3,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/clock/15,/amdcpu/0/clock/16,/amdcpu/0/factor/6,/amdcpu/0/power/7,/amdcpu/0/voltage/8,/amdcpu/0/clock/17,/amdcpu/0/clock/18,/amdcpu/0/factor/7,/amdcpu/0/power/8,/amdcpu/0/voltage/9,/amdcpu/0/temperature/2,/amdcpu/0/temperature/3,/amdcpu/0/clock/0,/vram/data/2,/vram/data/3,/vram/load/1,/ram/data/0,/ram/data/1,/ram/load/0,/memory/dimm/1/temperature/0,/memory/dimm/1/temperature/1,/memory/dimm/1/temperature/2,/memory/dimm/1/temperature/3,/memory/dimm/1/temperature/4,/memory/dimm/1/temperature/5,/memory/dimm/1/timing/20,/memory/dimm/1/timing/21,/memory/dimm/1/timing/22,/memory/dimm/1/timing/23,/memory/dimm/1/timing/24,/memory/dimm/1/timing/25,/memory/dimm/1/timing/26,/memory/dimm/1/timing/27,/memory/dimm/1/timing/28,/memory/dimm/1/timing/29,/memory/dimm/1/timing/30,/memory/dimm/1/timing/31,/memory/dimm/1/timing/32,/memory/dimm/1/timing/33,/memory/dimm/1/data/50,/memory/dimm/3/temperature/0,/memory/dimm/3/temperature/1,/memory/dimm/3/temperature/2,/memory/dimm/3/temperature/3,/memory/dimm/3/temperature/4,/memory/dimm/3/temperature/5,/memory/dimm/3/timing/20,/memory/dimm/3/timing/21,/memory/dimm/3/timing/22,/memory/dimm/3/timing/23,/memory/dimm/3/timing/24,/memory/dimm/3/timing/25,/memory/dimm/3/timing/26,/memory/dimm/3/timing/27,/memory/dimm/3/timing/28,/memory/dimm/3/timing/29,/memory/dimm/3/timing/30,/memory/dimm/3/timing/31,/memory/dimm/3/timing/32,/memory/dimm/3/timing/33,/memory/dimm/3/data/50,/gpu-amd/0/smalldata/2,/gpu-amd/0/factor/0,/gpu-amd/0/smalldata/5,/gpu-amd/0/smalldata/4,/gpu-amd/0/smalldata/3,/gpu-amd/0/smalldata/6,/gpu-amd/0/smalldata/7,/gpu-amd/0/smalldata/8,/gpu-amd/0/load/2,/gpu-amd/0/load/5,/gpu-amd/0/load/3,/gpu-amd/0/load/4,/gpu-amd/0/load/9,/gpu-amd/0/load/8,/gpu-amd/0/load/7,/gpu-amd/0/load/6,/gpu-amd/0/load/12,/gpu-amd/0/load/11,/gpu-amd/0/load/10,/gpu-amd/0/smalldata/0,/gpu-amd/0/smalldata/1,/gpu-amd/0/clock/0,/gpu-amd/0/clock/1,/gpu-amd/0/clock/2,/gpu-amd/0/temperature/4,/gpu-amd/0/voltage/0,/gpu-amd/0/voltage/2,/gpu-amd/0/load/0,/gpu-amd/0/power/0,/gpu-amd/0/power/2,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/fan/1,/gpu-nvidia/0/fan/2,/gpu-nvidia/0/control/1,/gpu-nvidia/0/control/2,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/load/4,/gpu-nvidia/0/load/5,/gpu-nvidia/0/voltage/0,/gpu-nvidia/0/smalldata/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/15,/gpu-nvidia/0/load/17,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/16,/gpu-nvidia/0/load/18,/gpu-nvidia/0/load/19,/gpu-nvidia/0/load/14,/gpu-nvidia/0/load/20,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/12,/gpu-nvidia/0/load/13,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/temperature/3,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1
Time,"CPU Fan","Pump Fan","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","+12V","+5V","CPU Northbridge/SoC","DIMM","Vcore","Chipset","CPU System Agent","+3.3V","VREF","+1.8V","+3V Standby","AVSB","CMOS Battery","CPU Core","System","VRM MOS","Chipset","CPU Fan","Pump Fan #1","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core Max","Package","Cores (Average)","Cores (Average Effective)","Core #1","Core #1 (Effective)","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2 (Effective)","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3 (Effective)","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4 (Effective)","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5 (Effective)","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6 (Effective)","Core #6","Core #6 (SMU)","Core #6 VID","Core #7","Core #7 (Effective)","Core #7","Core #7 (SMU)","Core #7 VID","Core #8","Core #8 (Effective)","Core #8","Core #8 (SMU)","Core #8 VID","Core (Tctl/Tdie)","CCD1 (Tdie)","Bus Speed","Memory Used","Memory Available","Memory","Memory Used","Memory Available","Memory","DIMM #1","Temperature Sensor Resolution","Thermal Sensor Low Limit","Thermal Sensor High Limit","Thermal Sensor Critical Low Limit","Thermal Sensor Critical High Limit","tCKAVGmin (Minimum Cycle Time)","tCKAVGmax (Maximum Cycle Time)","tAA (CAS Latency Time)","tRCD (RAS to CAS Delay Time)","tRP (Row Precharge Delay Time)","tRAS (Active to Precharge Delay Time)","tRC (Active to Active/Refresh Delay Time)","tWR (Write Recovery Time)","tRFC1 (Normal Refresh Recovery Time)","tRFC2 (Fine Granularity Refresh Recovery Time)","tRFCsb (Same Bank Refresh Recovery Time)","tRFC1_dlr (Normal Refresh Recovery Time 3DS)","tRFC2_dlr (Fine Granularity Refresh Recovery Time 3DS)","tRFCsb_dlr (Same Bank Refresh Recovery Time 3DS)","Capacity","DIMM #3","Temperature Sensor Resolution","Thermal Sensor Low Limit","Thermal Sensor High Limit","Thermal Sensor Critical Low Limit","Thermal Sensor Critical High Limit","tCKAVGmin (Minimum Cycle Time)","tCKAVGmax (Maximum Cycle Time)","tAA (CAS Latency Time)","tRCD (RAS to CAS Delay Time)","tRP (Row Precharge Delay Time)","tRAS (Active to Precharge Delay Time)","tRC (Active to Active/Refresh Delay Time)","tWR (Write Recovery Time)","tRFC1 (Normal Refresh Recovery Time)","tRFC2 (Fine Granularity Refresh Recovery Time)","tRFCsb (Same Bank Refresh Recovery Time)","tRFC1_dlr (Normal Refresh Recovery Time 3DS)","tRFC2_dlr (Fine Granularity Refresh Recovery Time 3DS)","tRFCsb_dlr (Same Bank Refresh Recovery Time 3DS)","Capacity","GPU Memory Total","Fullscreen FPS","D3D Dedicated Memory Total","D3D Dedicated Memory Free","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D Shared Memory Free","D3D Shared Memory Total","D3D 3D","D3D Copy","D3D Compute 0","D3D Compute 1","D3D Timer 0","D3D Security 1","D3D High Priority Compute","D3D High Priority 3D","D3D Video JPEG 0","D3D Video Decode 1","D3D Video Codec 0","GPU Memory Used","GPU Memory Free","GPU Core","GPU SoC","GPU Memory","GPU VR SoC","GPU Core","GPU SoC","GPU Core","GPU Core","GPU SoC","GPU Core","GPU Core","GPU Memory","GPU Fan 1","GPU Fan 2","GPU Fan 1","GPU Fan 2","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","GPU Power","GPU Board Power","GPU Core Voltage","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D Video Encode","D3D Optical Flow Accelerator 0","D3D VR","D3D Copy","D3D Copy","D3D Copy","D3D Copy","GPU Hot Spot","GPU Memory Junction","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx"
05/28/2026 22:29:59,57,62,0,65,71,67,67,67,67,81,12.12,5.03,1.31000006,1.396,1.06000006,0.344,0.624,3.288,2.046,0,3.37600017,3.37200022,3.12000012,65,49,50.5,48,1255,823,0,977,920,0,0,0,0,0,57.81,1.56,3.12,1.56,1.56,50,0,0,14.45,57.81,39.4889641,3769,894,5050,2949,50.5,2.4658525,0.5375,3276,275,33.6666679,0.454881638,0.5375,3259,117,33.6666679,0.21534048,0.5375,3205,104,33.6666679,0.1909614,0.5375,3287,164,33.6666679,0.287538528,0.5375,5050,3356,50.5,2.79737163,0.5375,3916,115,40.4,0.687502742,0.5375,3110,75,33.6666679,0.130220056,0.5375,65.87501,57.2500038,99.99825,28.45256,8.428204,77.14743,11.4866562,3.39410782,77.19131,43.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,43,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,54,1.05500007,1.30500007,0,5,16,45,2670,10451.9824,1000,999,30,30,0,1,0,0,16.922,18.745,0.975,11438.3164,577.644531,0.704703748,0,0,0,0,0,0,0,0,0,0,0,0,0,56.25,56,16376,4637,11738,71.6818542,47.986,449536,4099072
05/28/2026 22:30:01,58,62,0,65,71,70,70,70,70,83,12.12,5.03,1.31000006,1.396,1.064,0.352000028,0.624,3.288,2.046,0,3.37200022,3.37200022,3.124,68,49,50.5,48,1284,822,0,968,902,0,0,0,0,0,76.19,11.11,9.52,1.59,11.11,41.27,3.17,1.59,19.44,76.19,41.802002,3772,1007,4040,3734,40.4,3.64318013,0.51875,3367,672,33.6666679,0.9988143,0.51875,3367,361,33.6666679,0.5649154,0.51875,3296,211,33.6666679,0.382132143,0.51875,3323,392,33.6666679,0.672188342,0.51875,5050,2435,50.5,3.02538085,0.51875,3820,125,40.4,0.2830338,0.51875,3913,129,40.4,0.220318139,0.51875,69.00001,65.125,99.9982758,29.0327873,7.84797668,78.72068,11.34174,3.53902435,76.21745,43.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,43,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,54,1.064,1.30500007,0,7,16,45,2670,10451.9824,1000,1000,30,30,13,7,0,1,17.081,20.995,0.975,12288.1836,444.722656,5.29338455,0,0,0,1.20819175,0,0,0,0,0,5.0663805,0,0,0,56.1875,56,16376,3787,12588,76.87257,50.74,549888,299008
05/28/2026 22:30:03,60,62,0,66,72,74,74,74,74,87,12.12,5.03,1.312,1.396,1.07600009,0.342,0.624,3.288,2.046,0,3.37200022,3.37200022,3.124,71,49,50.5,48,1305,821,0,979,936,0,0,0,0,0,10.94,9.38,4.69,0,3.12,93.75,0,0,15.23,93.75,40.94668,3935,874,4040,879,40.4,1.340279,0.51875,5050,554,50.5,0.9149379,0.51875,3778,231,40.4,0.476577252,0.51875,3763,163,40.4,0.351617217,0.51875,3776,317,40.4,0.60150677,0.51875,5050,4695,50.5,5.43842363,0.525,2986,72,33.6666679,0.253976941,0.525,3040,81,33.6666679,0.1750905,0.525,72.12501,67.375,99.99825,30.37154,6.509224,82.3506241,11.3710251,3.509739,76.41426,43.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,43,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,54,1.074,1.30500007,0,9,16,47,2670,10451.9824,1001,1002,30,30,13,4,0,0,27.09,21.038,0.975,13599.5742,427.082031,10.2142525,0,0,0,0.0682078451,0,0,0,0,0,4.41384,0,0,0,56.09375,58,16376,2446,13929,85.0586853,57.572,6.82496E+07,9349120
05/28/2026 22:30:05,61,62,0,67,73,78,78,78,78,91,12.0960007,5.03,1.31000006,1.396,1.02200007,0.344,0.624,3.28400016,2.046,0,3.37200022,3.37200022,3.12000012,71,49,50,48,1333,792,0,991,951,0,0,0,0,0,26.56,15.62,7.81,4.69,10.94,62.5,3.12,3.12,16.8,62.5,39.9455948,3915,912,4850,1592,48.5,1.736423,0.64375,4850,826,48.5,1.26682448,0.64375,3110,396,32.3333321,0.847557545,0.64375,3101,247,32.3333321,0.6812966,0.64375,3958,559,40.4,1.02539134,0.64375,5050,3223,50.5,2.95527434,0.64375,3181,219,33.6666679,0.639844,0.5375,3218,232,33.6666679,0.631549,0.5375,70.75001,52.2500038,99.99827,30.27372,6.607044,82.08539,11.2045479,3.67621613,75.29552,43.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,43,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,54,1.04500008,1.30500007,0,4,16,56,2835,10451.9824,997,997,30,30,99,55,0,1,89.867,88.85,1.09,13458.4375,428.886719,67.6275253,0,0,0,0.155014455,0,0,0,0,0,1.41406918,0,0,0,65.875,60,16376,2617,13758,84.01503,131.349,451049472,215199744
05/28/2026 22:30:07,62,62,0,68,74,78,78,78,78,88,12.0960007,5.03,1.31000006,1.39200008,1.026,0.338000029,0.624,3.28000021,2.046,0,3.37200022,3.37200022,3.12000012,67,49,50,48,1357,792,0,1012,935,0,0,0,0,0,32.81,17.19,9.38,4.69,6.25,45.31,4.69,1.56,15.23,45.31,40.0797043,3968,946,4040,1934,40.4,1.99449456,0.51875,5050,1088,50.5,1.59021318,0.51875,3911,485,40.4,1.11400259,0.51875,3257,386,33.6666679,0.963252664,0.51875,3917,639,40.4,1.28045988,0.51875,5050,2487,50.5,2.21860552,0.54375,3255,297,33.6666679,0.8698547,0.54375,3262,252,33.6666679,0.8136732,0.54375,66.62501,52.2500038,99.9982758,30.2774658,6.603298,82.09555,11.2123451,3.668419,75.3479156,43.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,43,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,54,1.064,1.30500007,0,7,16,58,2835,10451.9824,996,995,30,30,99,56,0,1,91.079,92.433,1.09,13458.875,429.855469,94.37701,0,0,0,0.0148205869,0,0,0,0,0,0.0203683469,0,0,0,67.4375,62,16376,2617,13758,84.0177,258.215,5.727498E+08,274749440
05/28/2026 22:30:09,62,62,0,68,75,74,74,74,74,84,12.0720005,5.03,1.31000006,1.396,1.028,0.336000025,0.624,3.288,2.046,0,3.37200022,3.37200022,3.12000012,63,49,50.5,48,1369,791,0,1018,944,0,0,0,0,0,42.19,17.19,10.94,9.23,9.38,50,6.15,9.23,19.29,50,40.220047,4206,970,5050,2118,50.5,2.0623076,0.5375,4040,1023,40.4,1.5866034,0.5375,3919,492,40.4,1.11183238,0.5375,3904,400,40.4,0.98692894,0.5375,4923,662,50.5,1.31014824,0.5375,4040,2519,40.4,2.290896,0.51875,3846,278,40.4,0.862150848,0.51875,3925,268,40.4,0.8387188,0.51875,63.6250076,52.2500038,99.99826,30.0296516,6.85111237,81.4236145,11.2102966,3.67046738,75.3341446,43.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,43,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,54,1.074,1.30500007,0,8,16,59,2835,10451.9824,1005,1005,33,33,99,56,0,2,91.873,89.925,1.09,13458.875,429.980469,94.0330658,0,0,0,0.0145285893,0,0,0,0,0,0.0211251918,0,0,0,69.5625,64,16376,2617,13758,84.0177,261.429,8.407992E+08,231049216
05/28/2026 22:30:11,61,62,0,67,73,70,70,70,70,80,12.0960007,5.04,1.31000006,1.396,1.028,0.336000025,0.624,3.288,2.046,0,3.37600017,3.37200022,3.124,61,49,50.5,48,1352,791,0,1022,975,0,0,0,0,0,45.31,23.44,7.81,7.81,15.62,50,6.25,1.56,19.73,50,40.3963776,4737,982,4850,2150,48.5,2.11692977,0.5125,4850,1073,48.5,1.61324036,0.5125,4662,504,48.5,1.14005268,0.59375,4678,390,48.5,0.995131969,0.59375,4691,675,48.5,1.33190584,0.59375,4850,2517,48.5,2.290298,0.59375,4655,278,48.5,0.8664312,0.59375,4657,268,48.5,0.8404007,0.59375,61.5000076,52.6250038,99.9982758,30.0295448,6.851219,81.4233246,11.2008591,3.679905,75.27073,43.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,43,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,55,0.969000041,1.30500007,0,5,16,59,2835,10451.9824,1057,1052,35,35,99,57,0,2,91.76,89.471,1.09,13458.8789,431.214844,94.14599,0,0,0,0.0147210434,0,0,0,0,0,0.0387506858,0,0,0,71.5,64,16376,2617,13758,84.0177,261.968,776999936,231649280
05/28/2026 22:30:13,60,62,0,66,72,66,66,66,66,76,12.0960007,5.03,1.31000006,1.396,1.03800011,0.336000025,0.624,3.288,2.046,0,3.37200022,3.37200022,3.124,60,49,50.5,48,1320,821,0,1010,968,0,0,0,0,0,50,25,14.06,6.25,17.19,53.12,10.94,4.69,22.66,53.12,40.55961,4334,1000,5050,2167,50.5,2.112703,0.60625,4040,1029,40.4,1.606048,0.60625,3942,508,40.4,1.14328158,0.60625,4887,419,50.5,1.02255273,0.60625,3906,697,40.4,1.34475577,0.60625,5050,2586,50.5,2.336934,0.60625,3876,300,40.4,0.894774258,0.60625,3921,297,40.4,0.8690531,0.60625,60.0000076,52.2500038,99.99825,29.9984589,6.882305,81.339035,11.1768913,3.70387268,75.1096649,43.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,43,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,55,0.969000041,1.30500007,0,3,16,59,2835,10451.9824,1114,1112,37,37,99,57,0,2,91.869,88.432,1.09,13458.8789,431.214844,93.9298553,0,0,0,0.016321104,0,0,0,0,0,0,0,0,0,71.65625,66,16376,2617,13758,84.0177,261.12,9.080996E+08,1.345495E+08
05/28/2026 22:30:15,59,62,0,65,71,62,62,62,62,75,12.0960007,5.03,1.31000006,1.396,1.02200007,0.344,0.624,3.288,2.046,0,3.37600017,3.37200022,3.124,59,49,50.5,48,1305,823,0,994,952,0,0,0,0,0,39.06,23.44,15.62,9.38,12.5,42.19,10.94,10.94,20.51,42.19,40.094223,4580,977,5050,2259,50.5,2.12350774,0.50625,5050,1053,50.5,1.6429075,0.50625,4845,504,50.5,1.118004,0.50625,4890,384,50.5,0.9724138,0.50625,3958,737,40.4,1.354355,0.50625,5050,2330,50.5,2.21242023,0.50625,3903,287,40.4,0.8610442,0.50625,3891,262,40.4,0.8106193,0.50625,58.8750076,53.1250038,99.99826,30.0297737,6.8509903,81.42395,11.212059,3.668705,75.34599,43.5,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,43,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,485.480469,0.3046875,0.5,7618.451,7618.951,0,0,0,0,0,0,0,0,0,0,0,0,512,600,1200,3000,54,1.05000007,1.30500007,0,7,16,60,2835,10451.9824,1165,1164,37,37,99,55,0,2,91.661,92.545,1.09,13459.543,431.574219,93.68479,0,0,0,0.0157167539,0,0,0,0,0,0.0246319287,0,0,0,71.84375,66,16376,2616,13759,84.02175,259.194,906549248,194699264
