,/lpc/nct6687dr/0/control/0,/lpc/nct6687dr/0/control/1,/lpc/nct6687dr/0/control/2,/lpc/nct6687dr/0/control/10,/lpc/nct6687dr/0/control/11,/lpc/nct6687dr/0/control/12,/lpc/nct6687dr/0/control/13,/lpc/nct6687dr/0/control/14,/lpc/nct6687dr/0/control/15,/lpc/nct6687dr/0/control/3,/lpc/nct6687dr/0/voltage/0,/lpc/nct6687dr/0/voltage/1,/lpc/nct6687dr/0/voltage/2,/lpc/nct6687dr/0/voltage/3,/lpc/nct6687dr/0/voltage/4,/lpc/nct6687dr/0/voltage/5,/lpc/nct6687dr/0/voltage/6,/lpc/nct6687dr/0/voltage/8,/lpc/nct6687dr/0/voltage/9,/lpc/nct6687dr/0/voltage/10,/lpc/nct6687dr/0/voltage/11,/lpc/nct6687dr/0/voltage/12,/lpc/nct6687dr/0/voltage/13,/lpc/nct6687dr/0/temperature/0,/lpc/nct6687dr/0/temperature/1,/lpc/nct6687dr/0/temperature/2,/lpc/nct6687dr/0/temperature/3,/lpc/nct6687dr/0/fan/0,/lpc/nct6687dr/0/fan/1,/lpc/nct6687dr/0/fan/2,/lpc/nct6687dr/0/fan/10,/lpc/nct6687dr/0/fan/11,/lpc/nct6687dr/0/fan/12,/lpc/nct6687dr/0/fan/13,/lpc/nct6687dr/0/fan/14,/lpc/nct6687dr/0/fan/15,/lpc/nct6687dr/0/fan/3,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/9,/amdcpu/0/load/0,/amdcpu/0/load/1,/amdcpu/0/power/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/factor/0,/amdcpu/0/power/1,/amdcpu/0/voltage/2,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/factor/1,/amdcpu/0/power/2,/amdcpu/0/voltage/3,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/factor/2,/amdcpu/0/power/3,/amdcpu/0/voltage/4,/amdcpu/0/clock/9,/amdcpu/0/clock/10,/amdcpu/0/factor/3,/amdcpu/0/power/4,/amdcpu/0/voltage/5,/amdcpu/0/clock/11,/amdcpu/0/clock/12,/amdcpu/0/factor/4,/amdcpu/0/power/5,/amdcpu/0/voltage/6,/amdcpu/0/clock/13,/amdcpu/0/clock/14,/amdcpu/0/factor/5,/amdcpu/0/power/6,/amdcpu/0/voltage/7,/amdcpu/0/clock/15,/amdcpu/0/clock/16,/amdcpu/0/factor/6,/amdcpu/0/power/7,/amdcpu/0/voltage/8,/amdcpu/0/clock/17,/amdcpu/0/clock/18,/amdcpu/0/factor/7,/amdcpu/0/power/8,/amdcpu/0/voltage/9,/amdcpu/0/temperature/2,/amdcpu/0/temperature/3,/amdcpu/0/clock/0,/vram/data/2,/vram/data/3,/vram/load/1,/ram/data/0,/ram/data/1,/ram/load/0,/memory/dimm/1/temperature/0,/memory/dimm/1/temperature/1,/memory/dimm/1/temperature/2,/memory/dimm/1/temperature/3,/memory/dimm/1/temperature/4,/memory/dimm/1/temperature/5,/memory/dimm/1/timing/20,/memory/dimm/1/timing/21,/memory/dimm/1/timing/22,/memory/dimm/1/timing/23,/memory/dimm/1/timing/24,/memory/dimm/1/timing/25,/memory/dimm/1/timing/26,/memory/dimm/1/timing/27,/memory/dimm/1/timing/28,/memory/dimm/1/timing/29,/memory/dimm/1/timing/30,/memory/dimm/1/timing/31,/memory/dimm/1/timing/32,/memory/dimm/1/timing/33,/memory/dimm/1/data/50,/memory/dimm/3/temperature/0,/memory/dimm/3/temperature/1,/memory/dimm/3/temperature/2,/memory/dimm/3/temperature/3,/memory/dimm/3/temperature/4,/memory/dimm/3/temperature/5,/memory/dimm/3/timing/20,/memory/dimm/3/timing/21,/memory/dimm/3/timing/22,/memory/dimm/3/timing/23,/memory/dimm/3/timing/24,/memory/dimm/3/timing/25,/memory/dimm/3/timing/26,/memory/dimm/3/timing/27,/memory/dimm/3/timing/28,/memory/dimm/3/timing/29,/memory/dimm/3/timing/30,/memory/dimm/3/timing/31,/memory/dimm/3/timing/32,/memory/dimm/3/timing/33,/memory/dimm/3/data/50,/gpu-amd/0/smalldata/2,/gpu-amd/0/factor/0,/gpu-amd/0/smalldata/5,/gpu-amd/0/smalldata/4,/gpu-amd/0/smalldata/3,/gpu-amd/0/smalldata/6,/gpu-amd/0/smalldata/7,/gpu-amd/0/smalldata/8,/gpu-amd/0/load/2,/gpu-amd/0/load/5,/gpu-amd/0/load/3,/gpu-amd/0/load/4,/gpu-amd/0/load/9,/gpu-amd/0/load/8,/gpu-amd/0/load/7,/gpu-amd/0/load/6,/gpu-amd/0/load/12,/gpu-amd/0/load/11,/gpu-amd/0/load/10,/gpu-amd/0/smalldata/0,/gpu-amd/0/smalldata/1,/gpu-amd/0/clock/0,/gpu-amd/0/clock/1,/gpu-amd/0/clock/2,/gpu-amd/0/temperature/4,/gpu-amd/0/voltage/0,/gpu-amd/0/voltage/2,/gpu-amd/0/load/0,/gpu-amd/0/power/0,/gpu-amd/0/power/2,/gpu-nvidia/0/temperature/0,/gpu-nvidia/0/clock/0,/gpu-nvidia/0/clock/4,/gpu-nvidia/0/fan/1,/gpu-nvidia/0/fan/2,/gpu-nvidia/0/control/1,/gpu-nvidia/0/control/2,/gpu-nvidia/0/load/0,/gpu-nvidia/0/load/1,/gpu-nvidia/0/load/2,/gpu-nvidia/0/load/3,/gpu-nvidia/0/load/4,/gpu-nvidia/0/load/5,/gpu-nvidia/0/voltage/0,/gpu-nvidia/0/smalldata/3,/gpu-nvidia/0/smalldata/4,/gpu-nvidia/0/load/7,/gpu-nvidia/0/load/15,/gpu-nvidia/0/load/17,/gpu-nvidia/0/load/8,/gpu-nvidia/0/load/9,/gpu-nvidia/0/load/16,/gpu-nvidia/0/load/18,/gpu-nvidia/0/load/19,/gpu-nvidia/0/load/14,/gpu-nvidia/0/load/20,/gpu-nvidia/0/load/10,/gpu-nvidia/0/load/11,/gpu-nvidia/0/load/12,/gpu-nvidia/0/load/13,/gpu-nvidia/0/temperature/2,/gpu-nvidia/0/temperature/3,/gpu-nvidia/0/smalldata/2,/gpu-nvidia/0/smalldata/0,/gpu-nvidia/0/smalldata/1,/gpu-nvidia/0/load/3,/gpu-nvidia/0/power/0,/gpu-nvidia/0/throughput/0,/gpu-nvidia/0/throughput/1
Time,"CPU Fan","Pump Fan","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","+12V","+5V","CPU Northbridge/SoC","DIMM","Vcore","Chipset","CPU System Agent","+3.3V","VREF","+1.8V","+3V Standby","AVSB","CMOS Battery","CPU Core","System","VRM MOS","Chipset","CPU Fan","Pump Fan #1","Chipset Fan","System Fan #1","System Fan #2","System Fan #3","System Fan #4","System Fan #5","System Fan #6","EZ-Connect Fan","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core Max","Package","Cores (Average)","Cores (Average Effective)","Core #1","Core #1 (Effective)","Core #1","Core #1 (SMU)","Core #1 VID","Core #2","Core #2 (Effective)","Core #2","Core #2 (SMU)","Core #2 VID","Core #3","Core #3 (Effective)","Core #3","Core #3 (SMU)","Core #3 VID","Core #4","Core #4 (Effective)","Core #4","Core #4 (SMU)","Core #4 VID","Core #5","Core #5 (Effective)","Core #5","Core #5 (SMU)","Core #5 VID","Core #6","Core #6 (Effective)","Core #6","Core #6 (SMU)","Core #6 VID","Core #7","Core #7 (Effective)","Core #7","Core #7 (SMU)","Core #7 VID","Core #8","Core #8 (Effective)","Core #8","Core #8 (SMU)","Core #8 VID","Core (Tctl/Tdie)","CCD1 (Tdie)","Bus Speed","Memory Used","Memory Available","Memory","Memory Used","Memory Available","Memory","DIMM #1","Temperature Sensor Resolution","Thermal Sensor Low Limit","Thermal Sensor High Limit","Thermal Sensor Critical Low Limit","Thermal Sensor Critical High Limit","tCKAVGmin (Minimum Cycle Time)","tCKAVGmax (Maximum Cycle Time)","tAA (CAS Latency Time)","tRCD (RAS to CAS Delay Time)","tRP (Row Precharge Delay Time)","tRAS (Active to Precharge Delay Time)","tRC (Active to Active/Refresh Delay Time)","tWR (Write Recovery Time)","tRFC1 (Normal Refresh Recovery Time)","tRFC2 (Fine Granularity Refresh Recovery Time)","tRFCsb (Same Bank Refresh Recovery Time)","tRFC1_dlr (Normal Refresh Recovery Time 3DS)","tRFC2_dlr (Fine Granularity Refresh Recovery Time 3DS)","tRFCsb_dlr (Same Bank Refresh Recovery Time 3DS)","Capacity","DIMM #3","Temperature Sensor Resolution","Thermal Sensor Low Limit","Thermal Sensor High Limit","Thermal Sensor Critical Low Limit","Thermal Sensor Critical High Limit","tCKAVGmin (Minimum Cycle Time)","tCKAVGmax (Maximum Cycle Time)","tAA (CAS Latency Time)","tRCD (RAS to CAS Delay Time)","tRP (Row Precharge Delay Time)","tRAS (Active to Precharge Delay Time)","tRC (Active to Active/Refresh Delay Time)","tWR (Write Recovery Time)","tRFC1 (Normal Refresh Recovery Time)","tRFC2 (Fine Granularity Refresh Recovery Time)","tRFCsb (Same Bank Refresh Recovery Time)","tRFC1_dlr (Normal Refresh Recovery Time 3DS)","tRFC2_dlr (Fine Granularity Refresh Recovery Time 3DS)","tRFCsb_dlr (Same Bank Refresh Recovery Time 3DS)","Capacity","GPU Memory Total","Fullscreen FPS","D3D Dedicated Memory Total","D3D Dedicated Memory Free","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D Shared Memory Free","D3D Shared Memory Total","D3D 3D","D3D Copy","D3D Compute 0","D3D Compute 1","D3D Timer 0","D3D Security 1","D3D High Priority Compute","D3D High Priority 3D","D3D Video JPEG 0","D3D Video Decode 1","D3D Video Codec 0","GPU Memory Used","GPU Memory Free","GPU Core","GPU SoC","GPU Memory","GPU VR SoC","GPU Core","GPU SoC","GPU Core","GPU Core","GPU SoC","GPU Core","GPU Core","GPU Memory","GPU Fan 1","GPU Fan 2","GPU Fan 1","GPU Fan 2","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Bus","GPU Power","GPU Board Power","GPU Core Voltage","D3D Dedicated Memory Used","D3D Shared Memory Used","D3D 3D","D3D Overlay","D3D Video Decode","D3D Copy","D3D Copy","D3D Security","D3D Video Encode","D3D Video Encode","D3D Optical Flow Accelerator 0","D3D VR","D3D Copy","D3D Copy","D3D Copy","D3D Copy","GPU Hot Spot","GPU Memory Junction","GPU Memory Total","GPU Memory Free","GPU Memory Used","GPU Memory","GPU Package","GPU PCIe Rx","GPU PCIe Tx"
05/30/2026 13:05:33,49,56,0,58,64,56,56,56,56,74,12.12,5.03,1.31000006,1.39200008,1.02200007,0.322000027,0.648,3.28400016,2.046,1.84,3.36800027,3.364,3.11600018,57,46.5,43.5,46.5,1094,708,0,920,836,0,0,0,0,0,40.62,9.38,4.69,4.69,6.25,35.94,4.69,6.25,14.06,40.62,32.9358826,3648,418,4040,939,40.4,0.9319861,0.55625,3367,299,33.6666679,0.429323554,0.55625,3367,165,33.6666679,0.220185116,0.55625,2953,78,33.6666679,0.115952045,0.55625,3004,106,33.6666679,0.1739357,0.55625,5050,1303,50.5,1.45898807,0.5375,3367,117,33.6666679,0.1339201,0.5375,4040,338,40.4,0.369378746,0.5375,57.7500076,57.1250038,99.99816,18.605854,19.27491,49.1168938,9.815369,5.06539536,65.96011,38,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,36,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,475.796875,9.988281,25.7265625,7593.22461,7618.951,0,0,0,0,0,0,0,0,0,0,0,9,503,600,1200,3000,48,1.03000009,1.30500007,0,12,15,47,210,405,0,0,0,0,2,52,0,0,5.439,6.952,0.865,3235.85938,137.3086,0.4269584,0,0,0,0.00129315071,0,0,0,0,0,0.5134094,0,0,0,59.5,56,16376,12835,3540,21.6220341,15.543,1449984,149504
05/30/2026 13:05:35,50,56,0,59,64,58,58,58,58,75,12.0960007,5.03,1.30800009,1.39200008,1.06800008,0.336000025,0.648,3.28400016,2.046,1.84,3.364,3.364,3.11600018,65,46,43.5,46.5,1091,707,0,904,813,0,0,0,0,0,79.69,59.38,25.4,9.52,41.27,66.67,11.11,9.52,37.82,79.69,47.4251976,3844,1839,4020,3413,40.2,3.87773085,0.4875,5025,2991,50.25,4.019394,0.5,3350,1375,33.5,2.35657549,0.5,3350,646,33.5,1.424308,0.5,3350,1799,33.5,2.78028965,0.5,3350,3626,33.5,4.40228128,0.5,3281,377,33.5,0.8345833,0.5,5025,486,50.25,0.82890135,0.4875,66.62501,70.75,99.99815,18.7407265,19.1400375,49.4729347,9.942951,4.937813,66.8174744,38,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,36.25,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,475.796875,9.988281,25.7265625,7593.22461,7618.951,0,0,0,0,0,0,0,0,0,0,0,9,503,600,1200,3000,49,1.04000008,1.30500007,0,22,15,47,210,405,0,0,0,0,0,53,0,0,5.056,5.541,0.865,3217.03516,136.355469,0.3463923,0,0,0,0.00127798773,0,0,0,0,0,0.441914678,0,0,0,59.5,56,16376,12853,3522,21.5071545,16.299,249856,199680
05/30/2026 13:05:37,51,56,0,60,65,62,62,62,62,79,12.12,5.03,1.31000006,1.39200008,0.964000046,0.338000029,0.648,3.28400016,2.046,1.84,3.36800027,3.364,3.11600018,67,46,43.5,46.5,1114,733,0,925,814,0,0,0,0,0,56.25,26.15,4.62,6.15,15.38,42.19,3.12,11.11,20.62,56.25,35.557,3584,664,4850,1516,48.5,1.55942214,0.54375,3233,770,32.3333321,1.041438,0.54375,3231,312,32.3333321,0.42164135,0.54375,3060,150,32.3333321,0.235464036,0.54375,3233,414,32.3333321,0.640834332,0.54375,4850,1524,48.5,1.86651254,0.54375,2979,108,32.3333321,0.191547975,0.54375,3233,518,32.3333321,0.798893332,0.54375,66.62501,44.8750038,99.99816,18.7083969,19.1723671,49.3875923,9.908947,4.971817,66.58897,38,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,36,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,475.796875,9.988281,25.7265625,7593.22461,7618.951,0,0,0,0,0,0,0,0,0,0,0,9,503,600,1200,3000,48,0.75000006,1.30500007,0,1,15,47,210,405,0,0,0,0,7,53,0,0,5.134,5.265,0.865,3212.28516,136.605469,1.49765921,0,0,0,0.00281450176,0,0,0,0,0,0.251523316,0,0,0,59.5,58,16376,12858,3517,21.47815,14.001,39599104,199680
05/30/2026 13:05:39,52,56,0,60,65,66,66,66,66,82,12.0960007,5.03,1.30800009,1.39200008,0.926000059,0.326,0.648,3.28400016,2.046,1.84,3.36800027,3.364,3.11600018,62,46.5,43.5,46.5,1150,707,0,912,822,0,0,0,0,0,20,4.69,0,1.56,9.38,12.5,1.56,1.56,6.41,20,31.5458813,3361,351,4850,1058,48.5,0.9131863,0.66875,3233,384,32.3333321,0.48255682,0.66875,3169,159,32.3333321,0.222010761,0.66875,3172,128,32.3333321,0.182333156,0.66875,3233,280,32.3333321,0.335375339,0.66875,3233,612,32.3333321,0.7417414,0.66875,3026,104,32.3333321,0.145198584,0.66875,2973,80,32.3333321,0.10619504,0.66875,62.0000076,44.3750038,99.99816,18.69909,19.181675,49.36302,9.93534851,4.9454155,66.76639,38,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,36,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,475.796875,9.988281,25.7265625,7593.22461,7618.951,0,0,0,0,0,0,0,0,0,0,0,9,503,600,1200,3000,48,0.784000039,1.30500007,0,1,15,47,210,405,0,0,0,0,4,49,0,0,5.166,6.021,0.865,3211.53516,136.605469,2.61863232,0,0,0,0.00222884538,0,0,0,0,0,0.142515585,0,0,0,59.625,56,16376,12859,3516,21.473568,15.229,149504,249856
05/30/2026 13:05:41,53,56,0,61,66,63,63,63,63,78,12.0960007,5.03,1.30800009,1.39200008,0.928000033,0.338000029,0.648,3.28400016,2.046,1.84,3.36800027,3.364,3.11600018,59,46.5,43.5,46.5,1162,707,0,942,836,0,0,0,0,0,41.27,4.69,1.56,0,0,23.81,0,0,8.92,41.27,34.96491,3745,700,5050,2468,50.5,2.72810125,0.58125,4040,624,40.4,1.15718079,0.58125,3243,167,33.6666679,0.3224574,0.58125,2967,72,33.6666679,0.1196497,0.58125,3934,285,40.4,0.7287258,0.58125,5050,1909,50.5,2.55174756,0.58125,2867,40,33.6666679,0.07249749,0.58125,2809,32,33.6666679,0.0565067343,0.58125,60.7500076,45.3750038,99.99815,18.6917152,19.1890488,49.34355,9.937622,4.943142,66.78166,38,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,36,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,475.796875,9.988281,25.7265625,7593.22461,7618.951,0,0,0,0,0,0,0,0,0,0,0,9,503,600,1200,3000,48,1.0200001,1.30500007,0,13,15,47,210,405,0,0,0,0,2,50,0,0,5.702,7.067,0.865,3210.09766,136.605469,1.58773828,0,0,0,0,0,0,0,0,0,0.140574411,0,0,0,59.46875,56,16376,12860,3515,21.4647923,16.389,299008,199680
05/30/2026 13:05:43,53,56,0,60,65,59,59,59,59,74,12.12,5.03,1.31000006,1.39200008,1.052,0.336000025,0.648,3.28400016,2.046,1.84,3.36800027,3.36800027,3.12000012,57,46.5,43.5,46.5,1151,733,0,932,860,0,0,0,0,0,41.27,32.81,9.52,4.69,12.5,31.25,1.56,0,16.7,41.27,38.584362,4739,1099,5050,2229,50.5,2.55768013,0.54375,5050,2077,50.5,2.676483,0.54375,5050,630,50.5,1.06587911,0.54375,5050,327,50.5,0.642921,0.54375,5050,977,50.5,1.540661,0.54375,5050,2286,50.5,2.963333,0.54375,3830,168,40.4,0.350080937,0.54375,3785,95,40.4,0.217816874,0.54375,57.7500076,48.1250038,99.99816,18.703083,19.177681,49.3735657,9.947102,4.93366241,66.84537,38,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,36,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,475.796875,9.988281,25.7265625,7593.22461,7618.951,0,0,0,0,0,0,0,0,0,0,0,9,503,600,1200,3000,48,1.04000008,1.30500007,0,9,15,47,210,405,0,0,0,0,3,48,0,0,4.716,5.188,0.865,3209.28516,136.605469,1.87231076,0,0,0,0,0,0,0,0,0,0.415578336,0,0,0,59.4375,56,16376,12861,3514,21.45983,14.869,2049024,249856
05/30/2026 13:05:45,51,56,0,60,65,58,58,58,58,74,12.12,5.03,1.30800009,1.39200008,0.9760001,0.334000021,0.648,3.28400016,2.046,1.84,3.36800027,3.364,3.11600018,57,46.5,43.5,46.5,1128,707,0,931,834,0,0,0,0,0,26.15,3.08,3.08,3.08,3.08,13.85,1.54,1.54,6.92,26.15,35.9652328,3969,427,4850,1543,48.5,1.32635629,0.64375,4850,431,48.5,0.705108047,0.64375,4654,139,48.5,0.172979787,0.64375,3152,104,32.3333321,0.123820834,0.64375,3233,215,32.3333321,0.3917327,0.64375,4850,818,48.5,1.04814267,0.64375,3090,90,32.3333321,0.100692928,0.64375,3070,73,32.3333321,0.0865129754,0.64375,57.2500076,45.3750038,99.99815,18.71791,19.1628532,49.41271,9.951229,4.929535,66.87311,38,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,36,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,475.796875,9.988281,25.7265625,7593.22461,7618.951,0,0,0,0,0,0,0,0,0,0,0,9,503,600,1200,3000,48,0.960000038,1.30500007,0,2,14,47,210,405,0,0,0,0,23,49,0,0,5.565,5.56,0.865,3220.121,137.589844,6.865548,0,0,0,0.011401345,0,0,0,0,0,1.28286612,0,0,0,59.46875,56,16376,12850,3525,21.525856,14.559,199680,249856
05/30/2026 13:05:47,50,56,0,58,64,54,54,54,54,71,12.12,5.03,1.30800009,1.39200008,0.930000067,0.33,0.648,3.28400016,2.046,1.84,3.36800027,3.36800027,3.11600018,55,46.5,43.5,46.5,1118,707,0,915,850,0,0,0,0,0,17.46,3.12,0,0,1.56,9.38,0,0,3.94,17.46,31.1581783,3619,301,4850,1095,48.5,0.899440348,0.6625,3233,307,32.3333321,0.410484374,0.6625,4464,103,48.5,0.138524711,0.6625,3019,71,32.3333321,0.09970875,0.6625,3034,152,32.3333321,0.25167802,0.6625,3233,585,32.3333321,0.7216433,0.6625,2803,45,32.3333321,0.05430406,0.6625,4315,52,48.5,0.05272073,0.6625,55.1250076,44.0000038,99.99815,18.7124939,19.16827,49.398407,9.951828,4.928936,66.87713,38,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,36,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,475.796875,9.988281,25.7265625,7593.22461,7618.951,0,0,0,0,0,0,0,0,0,0,0,9,503,600,1200,3000,48,0.965000033,1.30500007,0,1,14,47,210,405,0,0,0,0,5,51,0,0,5.559,6.656,0.865,3222.82031,139.1211,2.73071,0,0,0,0.007246835,0,0,0,0,0,0.7514797,0,0,0,59.46875,58,16376,12848,3527,21.5422668,17.005,199680,199680
05/30/2026 13:05:49,49,56,0,57,63,52,52,52,52,69,12.12,5.03,1.31000006,1.39200008,0.944000065,0.328,0.648,3.28400016,2.046,1.84,3.36800027,3.36800027,3.12000012,55,46.5,43.5,46.5,1096,734,0,900,840,0,0,0,0,0,20.31,9.52,6.35,3.17,7.94,9.38,0,1.59,7.28,20.31,33.29073,3706,294,3600,951,36,0.788337767,0.64375,3600,358,36,0.41279754,0.64375,3370,116,36,0.161032736,0.64375,3371,109,36,0.138009116,0.64375,3462,192,36,0.256924272,0.64375,3600,507,36,0.6008899,0.64375,4396,69,48.5,0.102222852,0.875,4250,54,48.5,0.07859334,0.875,56.3750076,44.8750038,99.99816,18.6875877,19.1931763,49.3326569,9.927006,4.95375824,66.71033,38,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,36,0.25,0,55,0,85,0.416,1.01,16,16,16,32,48,30,295,160,130,0,0,0,16,512,-1,485.785156,475.796875,9.988281,25.7265625,7593.22461,7618.951,0,0,0,0,0,0,0,0,0,0,0,9,503,600,1200,3000,47,0.919,1.30500007,0,2,14,47,210,405,0,0,0,0,3,58,0,0,6.024,5.974,0.865,3224.31641,139.1211,0.44755134,0,0,0,0,0,0,0,0,0,0.09589745,0,0,0,59.5,56,16376,12846,3529,21.5514278,16.337,799744,199680
